method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Matching-Soft-Rerank,12,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,13,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,14,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,15,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,16,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,17,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,18,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,19,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Matching-Soft-Rerank,20,-0.9950128682448536,0.005931831524472398,0.0,1.0,,GMM,2,42
Target-Only,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Target-Only,1,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Target-Only,2,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Target-Only,3,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Target-Only,4,-0.356004733142934,0.9413993182842566,0.0,1.0,0.0,GMM,2,101
Target-Only,5,-0.5802985487114772,0.6136214591899087,0.0,1.0,0.0,GMM,2,101
Target-Only,6,-0.5802985487114772,0.6136214591899087,0.0,1.0,0.0,GMM,2,101
Target-Only,7,-0.5892065470629109,0.6006035138620466,0.0,1.0,0.0,GMM,2,101
Target-Only,8,-0.5892065470629109,0.6006035138620466,0.0,1.0,0.0,GMM,2,101
Target-Only,9,-0.5892065470629109,0.6006035138620466,0.0,1.0,0.0,GMM,2,101
Target-Only,10,-0.60011766302207,0.5846582582144141,0.0,1.0,0.0,GMM,2,101
Target-Only,11,-0.60011766302207,0.5846582582144141,0.0,1.0,0.0,GMM,2,101
Target-Only,12,-0.60011766302207,0.5846582582144141,0.0,1.0,0.0,GMM,2,101
Target-Only,13,-0.6987475465437376,0.4405227991893408,0.0,1.0,0.0,GMM,2,101
Target-Only,14,-0.9731336533729544,0.039541209778422966,0.0,1.0,0.0,GMM,2,101
Target-Only,15,-0.9731336533729544,0.039541209778422966,0.0,1.0,0.0,GMM,2,101
Target-Only,16,-0.9766315621970214,0.034429445716834185,0.0,1.0,0.0,GMM,2,101
Target-Only,17,-0.9766315621970214,0.034429445716834185,0.0,1.0,0.0,GMM,2,101
Target-Only,18,-0.9963027284496863,0.005682452653991309,0.0,1.0,0.0,GMM,2,101
Target-Only,19,-0.9963027284496863,0.005682452653991309,0.0,1.0,0.0,GMM,2,101
Target-Only,20,-0.9963027284496863,0.005682452653991309,0.0,1.0,0.0,GMM,2,101
Matching-Fixed-Filter,0,-0.31590510428679913,1.0,0.0,1.0,0.0,GMM,2,101
Matching-Fixed-Filter,1,-0.31590510428679913,1.0,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,2,-0.5913722145024235,0.5974386569308181,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,3,-0.7381560355717248,0.38293213343248983,1.0,0.25,1.0,GMM,2,101
Matching-Fixed-Filter,4,-0.7381560355717248,0.38293213343248983,1.0,0.25,1.0,GMM,2,101
