method,initial_best_y,final_best_y,known_optimum_y,total_improvement,final_normalized_regret,n_regions,filter_activation_rate,mean_retained_fraction,mean_compatibility_trust,problem,dim,seed
Matching-Adaptive-Filter,10.085986016806313,4.571954222404603,0.0,5.51403179440171,0.45329769591057734,6,0.8,0.8944999999999999,0.15178281357553577,Lunacek,2,1234
Random-Adaptive-Filter,10.085986016806313,5.572540971929956,0.0,4.513445044876357,0.5525033410362072,6,0.5,0.9720000000000001,0.058829314930498935,Lunacek,2,1234
Wrong-Adaptive-Filter,10.085986016806313,5.572540971929956,0.0,4.513445044876357,0.5525033410362072,6,0.35,0.9835,0.041434536878701696,Lunacek,2,1234
Oracle-Fixed-Filter,10.085986016806313,1.3769731039779216,0.0,8.709012912828392,0.13652340006058572,1,0.95,0.2875,1.0,Lunacek,2,1234
Matching-Soft-Rerank,10.085986016806313,7.083556643190104,0.0,3.0024293736162093,0.7023167225680017,6,0.0,1.0,,Lunacek,2,1234
Target-Only,5.433632476024606,3.1511030649576703,0.0,2.2825294110669354,0.5799256903851369,0,0.0,1.0,0.0,Lunacek,2,5678
Matching-Fixed-Filter,5.433632476024606,2.7189567424993974,0.0,2.7146757335252083,0.5003939361921402,6,1.0,0.25,1.0,Lunacek,2,5678
Matching-Adaptive-Filter,5.433632476024606,3.2553263120357636,0.0,2.178306163988842,0.5991068270442629,6,0.85,0.9400000000000001,0.09226397422697755,Lunacek,2,5678
Random-Adaptive-Filter,5.433632476024606,2.966320998227456,0.0,2.46731147779715,0.5459185933748868,6,0.95,0.9324999999999999,0.10040662753279035,Lunacek,2,5678
Wrong-Adaptive-Filter,5.433632476024606,3.1511030649576703,0.0,2.2825294110669354,0.5799256903851369,6,0.2,0.99,0.040496544323679544,Lunacek,2,5678
Oracle-Fixed-Filter,5.433632476024606,3.1511030649576703,0.0,2.2825294110669354,0.5799256903851369,1,0.0,1.0,1.0,Lunacek,2,5678
Matching-Soft-Rerank,5.433632476024606,2.429852037497228,0.0,3.003780438527378,0.44718741067209133,6,0.0,1.0,,Lunacek,2,5678
Target-Only,12.618322563443357,3.8317209243682773,0.0,8.78660163907508,0.3036632567524614,0,0.0,1.0,0.0,Lunacek,2,8888
Matching-Fixed-Filter,12.618322563443357,1.2122469546311994,0.0,11.406075608812158,0.09607037294665534,6,1.0,0.25,1.0,Lunacek,2,8888
Matching-Adaptive-Filter,12.618322563443357,5.671910216017009,0.0,6.946412347426348,0.44949795723634023,6,1.0,0.8004999999999999,0.2727370448035945,Lunacek,2,8888
Random-Adaptive-Filter,12.618322563443357,2.3397024240467443,0.0,10.278620139396612,0.1854210345537619,6,0.95,0.9445,0.08249897834268832,Lunacek,2,8888
Wrong-Adaptive-Filter,12.618322563443357,3.8317209243682773,0.0,8.78660163907508,0.3036632567524614,6,0.6,0.931,0.1060374326639492,Lunacek,2,8888
Oracle-Fixed-Filter,12.618322563443357,1.4796993646754668,0.0,11.13862319876789,0.11726593271298323,1,0.5,0.625,1.0,Lunacek,2,8888
Matching-Soft-Rerank,12.618322563443357,0.025820680597310193,0.0,12.592501882846047,0.0020462847155386164,6,0.0,1.0,,Lunacek,2,8888
Target-Only,8.09282858543249,0.15407405631343396,4.440892098500626e-16,7.938754529119057,0.01903834421882786,0,0.0,1.0,0.0,Ackley,2,42
Matching-Fixed-Filter,8.09282858543249,2.6499228038466964,4.440892098500626e-16,5.442905781585795,0.327440866425454,6,1.0,0.25,1.0,Ackley,2,42
Matching-Adaptive-Filter,8.09282858543249,1.2117081893147241,4.440892098500626e-16,6.881120396117767,0.1497261651501999,6,1.0,0.7474999999999999,0.34408478104034745,Ackley,2,42
Random-Adaptive-Filter,8.09282858543249,0.15407405631343396,4.440892098500626e-16,7.938754529119057,0.01903834421882786,6,0.1,0.9960000000000001,0.04159013201453427,Ackley,2,42
