problem,dim,seed,panel,point_index,chart_point,clean_target_y,observed_target_y
GMM,2,42,test,53,"[-0.9217577762901783, 0.31198544055223465]",-0.9099684117507081,-0.9099684117507081
GMM,2,42,test,54,"[-0.130326384678483, -0.7769021019339561]",-0.9403280123278277,-0.9403280123278277
GMM,2,42,test,55,"[0.4295887593179941, 0.6040406711399555]",-0.9466257482952878,-0.9466257482952878
GMM,2,42,test,56,"[0.2563503459095955, -0.42629563994705677]",-0.9758775855367653,-0.9758775855367653
GMM,2,42,test,57,"[-0.05085347220301628, 0.19288352318108082]",-0.9961884740670489,-0.9961884740670489
GMM,2,42,test,58,"[-0.7798153776675463, -0.7201782446354628]",-0.89396048932188,-0.89396048932188
GMM,2,42,test,59,"[0.5430515725165606, 0.891067473217845]",-0.8968886159800581,-0.8968886159800581
GMM,2,42,test,60,"[0.8939927909523249, -0.9745940454304218]",-0.8402931845883682,-0.8402931845883682
GMM,2,42,test,61,"[-0.658083001151681, 0.6455016285181046]",-0.9187535977876782,-0.9187535977876782
GMM,2,42,test,62,"[-0.38619041815400124, -0.17191798985004425]",-0.9825524115468801,-0.9825524115468801
GMM,2,42,test,63,"[0.18154850602149963, 0.4385332874953747]",-0.9778371338752456,-0.9778371338752456
GMM,2,42,test,64,"[0.16268272139132023, -0.4998291712254286]",-0.9730986814412305,-0.9730986814412305
GMM,2,42,test,65,"[-0.3945468459278345, 0.13949081115424633]",-0.9828452641744926,-0.9828452641744926
GMM,2,42,test,66,"[-0.6861003078520298, -0.6661511678248644]",-0.9130854597855594,-0.9130854597855594
GMM,2,42,test,67,"[0.88673135638237, 0.9640124160796404]",-0.8423967526062589,-0.8423967526062589
GMM,2,42,test,68,"[0.5501866415143013, -0.9205859452486038]",-0.8920073587185782,-0.8920073587185782
GMM,2,42,test,69,"[-0.7519168071448803, 0.7184278778731823]",-0.8977356748275644,-0.8977356748275644
GMM,2,42,test,70,"[-0.042371632531285286, -0.2454783208668232]",-0.9940698365407408,-0.9940698365407408
GMM,2,42,test,71,"[0.27533391304314137, 0.3851134926080704]",-0.9779513998852754,-0.9779513998852754
GMM,2,42,test,72,"[0.4146405905485153, -0.5823527928441763]",-0.9505782813137283,-0.9505782813137283
GMM,2,42,test,73,"[-0.15041281655430794, 0.7864449080079794]",-0.9380144905258302,-0.9380144905258302
GMM,2,42,test,74,"[-0.9224274698644876, -0.25160583294928074]",-0.9130320447559284,-0.9130320447559284
GMM,2,42,test,75,"[0.6269628051668406, 0.10999082960188389]",-0.9604450086456936,-0.9604450086456936
GMM,2,42,test,76,"[0.809959040954709, -0.005040787160396576]",-0.9366819631331795,-0.9366819631331795
