dim,seed,sample_size,noise_level,method,basin_recall,mean_matched_mahalanobis,median_matched_mahalanobis,normalized_center_error,normalized_shape_error,extracted_count,oracle_count
2,999,100,0.05,Random-Centers,0.3333333333333333,3.435342166278232,3.8724607111348175,0.19709301419941241,0.16233620664039344,3,3
2,999,250,0.0,Proposed-Local-Structure,1.0,0.42656041530436556,0.3973163313526708,0.02192827443254811,0.0999269499785445,3,3
2,999,250,0.0,Top-Observations,0.3333333333333333,6.078467348630532,7.6207408113690445,0.2856145861191574,0.16231214431724542,3,3
2,999,250,0.0,Random-Centers,0.0,5.633197529190501,3.849654330867707,0.27105992495051395,0.16233620664039344,3,3
2,999,250,0.02,Proposed-Local-Structure,1.0,0.5032718035354941,0.4892505009137819,0.028423985403074677,0.1180659339856831,3,3
2,999,250,0.02,Top-Observations,0.3333333333333333,6.078467348630532,7.6207408113690445,0.2856145861191574,0.16231214431724542,3,3
2,999,250,0.02,Random-Centers,0.3333333333333333,4.450607316479253,2.942147931411502,0.1917263774515728,0.16233620664039344,3,3
2,999,250,0.05,Proposed-Local-Structure,1.0,0.43028138684547373,0.3872568267720185,0.023093342763174374,0.08247574751539262,3,3
2,999,250,0.05,Top-Observations,0.3333333333333333,6.078467348630532,7.6207408113690445,0.2856145861191574,0.16231214431724542,3,3
2,999,250,0.05,Random-Centers,0.3333333333333333,4.290970696205572,4.00055239484189,0.24968002013297105,0.16233620664039344,3,3
2,999,500,0.0,Proposed-Local-Structure,1.0,0.19141400920222895,0.17114297286757615,0.01140474249628932,0.07872937514841526,3,3
2,999,500,0.0,Top-Observations,0.3333333333333333,5.4602617602526395,7.238900027508286,0.2576987400572803,0.16234417618210126,3,3
2,999,500,0.0,Random-Centers,0.3333333333333333,2.742963353251433,2.7620889723500834,0.17006738073589664,0.16233620664039344,3,3
2,999,500,0.02,Proposed-Local-Structure,1.0,0.18934915457631044,0.1983231857426543,0.011460113507078781,0.06241204951929038,3,3
2,999,500,0.02,Top-Observations,0.3333333333333333,5.4602617602526395,7.238900027508286,0.2576987400572803,0.16234417618210126,3,3
2,999,500,0.02,Random-Centers,0.0,8.120868432708662,8.647430523282035,0.38667318436121545,0.16233620664039344,3,3
2,999,500,0.05,Proposed-Local-Structure,1.0,0.11289869762800937,0.11096927591519465,0.005523043057938161,0.08132243075337378,3,3
2,999,500,0.05,Top-Observations,0.3333333333333333,5.852815586876538,7.238900027508286,0.27463390818760103,0.16234417618210126,3,3
2,999,500,0.05,Random-Centers,0.3333333333333333,3.1007337599559297,3.588134888597443,0.17313024227328477,0.16233620664039344,3,3
2,1234,100,0.0,Proposed-Local-Structure,0.6666666666666666,0.3920132173954021,0.3920132173954021,0.021668044317764774,0.14716010277767155,2,3
2,1234,100,0.0,Top-Observations,0.3333333333333333,3.827598892752148,4.202922693799158,0.21116014553834167,0.14775650236507656,3,3
2,1234,100,0.0,Random-Centers,0.0,7.710344129719975,8.447990443750983,0.39953879258095776,0.14677177440685787,3,3
2,1234,100,0.02,Proposed-Local-Structure,0.6666666666666666,0.39201321739540235,0.39201321739540235,0.02166804431776479,0.14716010277767155,2,3
2,1234,100,0.02,Top-Observations,0.3333333333333333,3.827598892752148,4.202922693799158,0.21116014553834167,0.14775650236507656,3,3
2,1234,100,0.02,Random-Centers,0.0,5.458100660614505,5.286032608453899,0.2600660594444933,0.14677177440685787,3,3
2,1234,100,0.05,Proposed-Local-Structure,0.6666666666666666,0.26551233374331085,0.26551233374331085,0.013394902526564664,0.13799814893670664,2,3
2,1234,100,0.05,Top-Observations,0.3333333333333333,3.827598892752148,4.202922693799158,0.21116014553834167,0.14775650236507656,3,3
2,1234,100,0.05,Random-Centers,0.0,7.678482483191755,7.024964225416768,0.3768271667557887,0.14677177440685787,3,3
2,1234,250,0.0,Proposed-Local-Structure,0.6666666666666666,0.5240134359306838,0.5240134359306838,0.028438465932439868,0.2586055461542639,2,3
2,1234,250,0.0,Top-Observations,0.3333333333333333,3.5768045322002995,2.889216608139018,0.19484823959210895,0.14676595935813305,3,3
2,1234,250,0.0,Random-Centers,0.3333333333333333,3.3906944677367683,3.4976412023838783,0.19209460695346425,0.14677177440685787,3,3
2,1234,250,0.02,Proposed-Local-Structure,0.6666666666666666,0.5575341997032671,0.5575341997032671,0.030194214268644243,0.2752365689797841,2,3
2,1234,250,0.02,Top-Observations,0.3333333333333333,3.899378570251821,3.8048589240356034,0.21522633917793352,0.14676595935813305,3,3
2,1234,250,0.02,Random-Centers,0.3333333333333333,3.917168469219968,3.971168103749934,0.2072592298276936,0.14677177440685787,3,3
2,1234,250,0.05,Proposed-Local-Structure,0.6666666666666666,0.5514958479884801,0.5514958479884801,0.03273125425900069,0.23895906760269542,2,3
2,1234,250,0.05,Top-Observations,0.6666666666666666,1.2077469673025427,0.5963184429709014,0.06542652060331323,0.14676595935813305,3,3
2,1234,250,0.05,Random-Centers,0.3333333333333333,3.3998085408775474,2.930508607071011,0.2066954495638303,0.14677177440685787,3,3
2,1234,500,0.0,Proposed-Local-Structure,0.6666666666666666,0.3400867134661932,0.3400867134661932,0.018085798439522155,0.26147361983215983,2,3
2,1234,500,0.0,Top-Observations,0.3333333333333333,3.8069022235074788,3.6589855631373176,0.2071923144111357,0.14678500302442476,3,3
2,1234,500,0.0,Random-Centers,0.3333333333333333,4.066961976574004,4.550905053567827,0.2245974438001296,0.14677177440685787,3,3
2,1234,500,0.02,Proposed-Local-Structure,0.6666666666666666,0.3426391929348936,0.3426391929348936,0.01827870521818622,0.27277483278065723,2,3
2,1234,500,0.02,Top-Observations,0.3333333333333333,3.8069022235074788,3.6589855631373176,0.2071923144111357,0.14678500302442476,3,3
2,1234,500,0.02,Random-Centers,0.3333333333333333,4.555569887006025,4.4492262874809425,0.23996520176136996,0.14677177440685787,3,3
2,1234,500,0.05,Proposed-Local-Structure,0.6666666666666666,0.31391118134058543,0.31391118134058543,0.016869003946661715,0.2562040345262905,2,3
2,1234,500,0.05,Top-Observations,0.3333333333333333,3.8069022235074788,3.6589855631373176,0.2071923144111357,0.14678500302442476,3,3
2,1234,500,0.05,Random-Centers,0.0,6.73239017057517,5.170170849474432,0.31363969089874877,0.14677177440685787,3,3
2,5678,100,0.0,Proposed-Local-Structure,0.6666666666666666,0.33333955218424816,0.33333955218424816,0.013257629877284481,0.10742979424563108,2,3
