dim,seed,sample_size,noise_level,task_id,region_id,center,covariance,region_quality,core_count,context_count,bic,model_type,oof_spearman,oof_ndcg,oof_precision_at_top,geometry_spearman,geometry_ndcg,reliability,boundary_fraction,center_true_y
2,5678,250,0.05,controlled_d2_s5678,controlled_d2_s5678::region_0,"[0.5142506559401185, 1.182193755264959]","[[1.2669765739444392, -1.2009334746459421], [-1.2009334746459421, 1.4997396167642014]]",0.9190093708165996,18,55,409.5301017387296,gp,0.7527417027417028,0.9919824746877831,0.8333333333333334,0.6103174603174605,0.9703095874484984,0.74670657708641,0.6727272727272727,-0.8120655871371524
2,5678,250,0.05,controlled_d2_s5678,controlled_d2_s5678::region_1,"[-2.3909967214828023, -1.9313080584594178]","[[2.205694821309468, 0.23558051962709298], [0.23558051962709298, 1.302630928442223]]",0.8918172690763052,32,96,409.5301017387296,gp,0.7312669560499186,0.9775746237714357,0.7,0.49301410743353224,0.7151891031131582,0.7148680194369822,0.6666666666666667,-0.16495770878018137
2,5678,500,0.0,controlled_d2_s5678,controlled_d2_s5678::region_0,"[0.41916104703633533, 1.2536661645290619]","[[1.004453772950234, -0.17218983232722007], [-0.17218983232722007, 0.23759177625804753]]",0.9115831663326653,25,75,719.8979549741119,gp,0.9919416212314991,0.9946885686320981,0.875,0.9010241820768137,0.9950045182852667,0.9866729913893626,0.6666666666666667,-0.8403151549842162
2,5678,500,0.0,controlled_d2_s5678,controlled_d2_s5678::region_1,"[-3.466848037903681, -3.3777275889847362]","[[0.6812296595718657, -0.24869890243851422], [-0.24869890243851422, 0.5585675111946681]]",0.8867491079720417,41,96,719.8979549741119,gp,0.993593982622312,0.9905906469198529,0.9,0.6306836679327185,0.9442411521900381,0.9842449060215092,0.5729166666666667,-0.5076635119774747
2,5678,500,0.0,controlled_d2_s5678,controlled_d2_s5678::region_2,"[-1.0963598441119942, -1.5156764511181138]","[[0.8000345320872476, 0.17822040915715992], [0.17822040915715992, 0.35795989922222043]]",0.9098196392785571,34,96,719.8979549741119,gp,0.9778893109061313,0.9960552468527437,0.8,0.5912913727618013,0.935309793277232,0.9740317789692661,0.6458333333333333,-0.8342782532871585
2,5678,500,0.02,controlled_d2_s5678,controlled_d2_s5678::region_0,"[-3.4865970354649467, -3.343594373871705]","[[0.6780020156740997, -0.23139071041616266], [-0.23139071041616266, 0.5468708356336198]]",0.8872745490981963,40,96,716.4377483103776,gp,0.9357162235485621,0.9815838763843019,0.8,0.572069994574064,0.9383043890559795,0.9184839579064775,0.5833333333333333,-0.5222694228832125
2,5678,500,0.02,controlled_d2_s5678,controlled_d2_s5678::region_1,"[0.5466937911000397, 1.2604600515086584]","[[1.0097946067177335, -0.06792422495191777], [-0.06792422495191777, 0.2175612356656566]]",0.9098196392785571,26,78,716.4377483103776,gp,0.8112698141882101,0.995555476680484,0.875,0.7744533947065592,0.9975763788533626,0.8076641065806313,0.6666666666666667,-0.82095994690056
2,5678,500,0.02,controlled_d2_s5678,controlled_d2_s5678::region_2,"[-0.9964976305296069, -1.5483305347747822]","[[0.645002106024505, 0.17548384475146564], [0.17548384475146564, 0.3795556372763655]]",0.909819639278557,34,96,716.4377483103776,gp,0.8754883342376559,0.9918080347995779,0.8,0.41591155724362455,0.9217924573922051,0.8683163642702055,0.6458333333333333,-0.8246958881481706
2,5678,500,0.05,controlled_d2_s5678,controlled_d2_s5678::region_0,"[0.2706027264117345, -1.8626751623341278]","[[7.144889154375904, -4.128473849250216], [-4.128473849250216, 2.9259941747302083]]",0.8296593186372746,5,24,833.4866088602645,gp,0.7852173913043478,0.8754563353017739,0.3333333333333333,0.34695652173913033,0.7751252105230092,0.6874235398065233,0.7916666666666666,-0.08163808098381407
2,5678,500,0.05,controlled_d2_s5678,controlled_d2_s5678::region_1,"[-3.5372091647782424, -3.356648506181314]","[[0.5135475923132518, -0.2721241795790871], [-0.2721241795790871, 0.5100369848497559]]",0.8965788720297738,28,84,833.4866088602645,gp,0.8517768553204415,0.9931158888984442,0.8888888888888888,0.631041814316088,0.9295933545497151,0.8459131288146817,0.6666666666666667,-0.5068163440093294
2,5678,500,0.05,controlled_d2_s5678,controlled_d2_s5678::region_2,"[-0.4226486340226284, -0.31882079056987683]","[[2.8929961253349457, 2.106244197135699], [2.106244197135699, 3.1223091554306457]]",0.907875452397332,67,96,833.4866088602645,gp,0.8586272381985893,0.9716331497270745,0.7,0.2689907759088443,0.3602256619324257,0.8342706878923544,0.30208333333333337,-0.06091214708942303
2,8888,100,0.0,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.1937904589944085, -0.6577119654319331]","[[0.8431863659683525, 0.478555152761727], [0.478555152761727, 4.090687845619941]]",0.904040404040404,20,60,151.87927653054436,gp,0.9401908891000292,0.961354569860993,0.8333333333333334,0.9048624617949431,0.9805621521343342,0.9038568077779832,0.6666666666666667,-0.9172167802396206
2,8888,100,0.02,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.0656257689168249, -0.510036123163973]","[[0.7325058682946346, 0.5870933672481422], [0.5870933672481422, 4.487755371100313]]",0.904040404040404,20,60,150.07596540949308,gp,0.8705872546999474,0.8846501226185214,0.3333333333333333,0.8644623506529594,0.9617448604491593,0.7701651216204304,0.6666666666666667,-0.9664957007188578
2,8888,100,0.05,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.17927578560702975, -0.9314257968715408]","[[0.8535161622960538, 0.375154428723072], [0.375154428723072, 4.317073225121047]]",0.904040404040404,20,60,153.795426873101,gp,0.7902195054181719,0.9627335667272737,0.6666666666666666,0.756265629341484,0.9812143385955823,0.7607708429486988,0.6666666666666667,-0.824957538620226
2,8888,250,0.0,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.03959883972335053, -0.1470383671548868]","[[0.9331823855996442, 0.5014151315598928], [0.5014151315598928, 3.162080846804974]]",0.9016064257028112,50,96,352.99072860460274,gp,0.966385870759974,0.9922431445418367,0.9,0.8600786760716224,0.9587198268156101,0.9588897552436776,0.47916666666666663,-1.0025482009587232
2,8888,250,0.02,controlled_d2_s8888,controlled_d2_s8888::region_0,"[0.0010687843599698965, -0.19673658733310384]","[[0.8777526059272158, 0.4366183699968822], [0.4366183699968822, 3.403232070882722]]",0.9016064257028112,50,96,354.7590382231212,gp,0.9787404325220161,0.9972608414844771,0.9,0.8557650569723277,0.9588500379684661,0.9760595073317869,0.47916666666666663,-1.0032625740499057
2,8888,250,0.05,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.018188912960176128, -0.07247994246016574]","[[0.8506405173151389, 0.5154919030335516], [0.5154919030335516, 3.42803209974551]]",0.9016064257028112,50,96,352.07255098776324,gp,0.9201848963058162,0.9863304572099417,0.8,0.8216359196961475,0.9251344051524883,0.9076063894909986,0.47916666666666663,-0.995862421315597
2,8888,500,0.0,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.04410738238886504, -0.44287563422230464]","[[0.9126587240677938, 0.44640501642357433], [0.44640501642357433, 3.9491838035236753]]",0.9008016032064128,100,96,713.1096908831961,gp,0.9910536852445119,0.9944668280187738,1.0,0.7414134563212154,0.9766415045567556,0.985570014761426,0.0,-0.9810194000648499
2,8888,500,0.02,controlled_d2_s8888,controlled_d2_s8888::region_0,"[-0.008609883124631236, -0.338027238944582]","[[0.9025008434267027, 0.44146437574598674], [0.44146437574598674, 3.988439071023194]]",0.9008016032064128,100,96,713.1007629469866,gp,0.9685562745909364,0.9940695026198815,0.9,0.7216901790558871,0.9659821857659766,0.9628122541419775,0.0,-0.996334801236764
2,8888,500,0.05,controlled_d2_s8888,controlled_d2_s8888::region_0,"[0.0057850262302508336, -0.4711066273249724]","[[0.948438782043293, 0.5543821858264656], [0.5543821858264656, 4.128637902522434]]",0.9008016032064128,100,96,718.9130412232356,gp,0.9218665219750406,0.9854218427908666,0.9,0.7341291372761801,0.9701244968625062,0.9084274068918514,0.0,-0.9741314093190953
5,42,100,0.0,controlled_d5_s42,controlled_d5_s42::region_0,"[-0.03446110122273937, 3.3292479803016866, 1.2305140072072398, -2.4410920055920218, 0.6724759868369947]","[[4.129176244914123, 1.355023248576447, -1.1947770404776124, 1.0942826559336414, 0.7697473131513124], [1.355023248576447, 0.5948776268599777, -0.34842936572678984, 0.4556636661744284, 0.41597403076732287], [-1.1947770404776124, -0.34842936572678984, 0.6625328918015919, -0.2658707884898669, -0.5742195672174913], [1.0942826559336414, 0.4556636661744284, -0.2658707884898669, 2.450273207043247, -0.7070012817131957], [0.7697473131513124, 0.41597403076732287, -0.5742195672174913, -0.7070012817131957, 1.364578324211579]]",0.9151515151515153,5,20,441.28225160850644,gp,0.35639097744360904,0.6116028431209408,0.5,0.7503759398496239,0.9273307475492574,0.21796973506716238,0.75,-1.626014599897734e-05
5,42,100,0.0,controlled_d5_s42,controlled_d5_s42::region_1,"[-0.17091775429737768, -1.6556727752499416, -1.7454182479928677, 2.965722348254625, -0.27687114470036406]","[[7.508680312274293, 2.5304200004391015, 0.3208148253183608, 0.3461276981609166, 1.4809898538650645], [2.5304200004391015, 3.7482984453966033, -0.3328055172454237, 0.008465777618617311, 1.0213364555364093], [0.3208148253183608, -0.3328055172454237, 2.4440514524751, 0.5867345996273057, -0.15178297123539142], [0.3461276981609166, 0.008465777618617311, 0.5867345996273057, 1.270497236777274, 0.2508391819471562], [1.4809898538650645, 1.0213364555364093, -0.15178297123539142, 0.2508391819471562, 2.466452147882845]]",0.913682277318641,11,33,441.28225160850644,gp,0.6006016042780749,0.9173212657316991,0.25,0.8068181818181819,0.9584574375279694,0.5509446238368527,0.6666666666666667,-0.3466858559565798
5,42,100,0.0,controlled_d5_s42,controlled_d5_s42::region_2,"[1.017972061766438, -1.259044745260686, 2.312508515279058, -1.530518964880048, 0.7856313249577357]","[[4.521125189135823, 3.0325221658359807, 0.45224078296771664, -2.3904811944262048, 0.8519535015864959], [3.0325221658359807, 3.169249882690177, -0.3371487288779087, -2.469975893413977, 0.2833889001637486], [0.45224078296771664, -0.3371487288779087, 0.6011489757032303, 0.15101271200996164, 0.5116834681843208], [-2.3904811944262048, -2.469975893413977, 0.15101271200996164, 1.9964076189641575, -0.3762819303138014], [0.8519535015864959, 0.2833889001637486, 0.5116834681843208, -0.3762819303138014, 0.6195951672214564]]",0.8636363636363636,4,20,441.28225160850644,gp,-0.38646616541353385,0.5458930587619066,0.0,0.08571428571428572,0.7245731088736405,0.0,0.8,-3.200759372800803e-10
5,42,100,0.02,controlled_d5_s42,controlled_d5_s42::region_0,"[0.39452559851967955, -1.27073027593774, -2.601131590291622, -3.5272277476117293, 2.127010252272219]","[[3.2066243400472043, -1.9968002934423241, 2.690931851877748, 1.027365090676192, 2.4479869913586763], [-1.9968002934423241, 11.425150045952943, -3.538258192825386, -2.373663646855516, 4.356756395045745], [2.690931851877748, -3.538258192825386, 3.8180305943803075, 0.9154061583804375, 2.071105284524105], [1.027365090676192, -2.373663646855516, 0.9154061583804375, 0.6918515322230145, -0.45525409270976425], [2.4479869913586763, 4.356756395045745, 2.071105284524105, -0.45525409270976425, 6.266769858124537]]",0.9090909090909091,4,20,478.715208000771,gp,0.12932330827067667,0.8012633509742605,0.0,0.4060150375939849,0.9204603285455422,0.10362202734403969,0.8,-3.343633663510806e-14
5,42,100,0.02,controlled_d5_s42,controlled_d5_s42::region_1,"[1.2307093940802614, -0.32050331008016686, -1.7742702722313868, 2.8043594548875284, -2.5383464552218866]","[[6.785418221219208, 1.7458368439296186, 0.9912174338653181, 0.2540577296807651, -1.0035009890093818], [1.7458368439296186, 8.99087415823372, 0.4166727156532785, -1.4742396914752485, 1.665142294615027], [0.9912174338653181, 0.4166727156532785, 1.8253217858625768, -1.1495774801708738, 0.319971258862045], [0.2540577296807651, -1.4742396914752485, -1.1495774801708738, 1.3269951089898955, -0.45768469502651754], [-1.0035009890093818, 1.665142294615027, 0.319971258862045, -0.45768469502651754, 0.9244233141211395]]",0.9191919191919192,5,20,478.715208000771,gp,0.3744360902255639,0.5291078716383572,0.0,0.625563909774436,0.9273307475492574,0.198117082763836,0.75,-0.0001431360430564699
5,42,100,0.02,controlled_d5_s42,controlled_d5_s42::region_2,"[-1.5763072479089784, 0.9974159917221804, 1.420435270132422, -2.8423426885084653, 0.6792699791085891]","[[5.2392360008628245, -0.1302937231885244, 2.0376385064503717, 0.449304400286035, 1.9060347750510158], [-0.1302937231885244, 3.9517985638743354, -1.6690288441303642, -1.8215825223945832, 0.014068313258259895], [2.0376385064503717, -1.6690288441303642, 4.440978514378111, 0.571967117343753, 2.8299501472073976], [0.449304400286035, -1.8215825223945832, 0.571967117343753, 2.229945506009177, 0.5772901947445079], [1.9060347750510158, 0.014068313258259895, 2.8299501472073976, 0.5772901947445079, 5.778908062501634]]",0.8953168044077136,11,33,478.715208000771,gp,0.2820855614973262,0.6473292928658843,0.0,0.46557486631016043,0.636539433169476,0.18260224705174008,0.6666666666666667,-9.075994446374577e-08
5,42,100,0.05,controlled_d5_s42,controlled_d5_s42::region_0,"[3.246294888876666, 1.52211461230045, 0.7513601823407471, 3.3060040992144653, 0.3191322550243792]","[[0.49366385287511544, 1.435928293289157, 0.7163731045031299, -0.5628588532093862, 0.05845351118162524], [1.435928293289157, 6.494348178001733, 5.115725930983643, -1.7567845466723673, -1.8931308068709325], [0.7163731045031299, 5.115725930983643, 6.825701830627999, -0.6009248333685446, -0.6056822508512507], [-0.5628588532093862, -1.7567845466723673, -0.6009248333685446, 1.1761414863825315, 1.3868819744817045], [0.05845351118162524, -1.8931308068709325, -0.6056822508512507, 1.3868819744817045, 6.444788693901137]]",0.8868686868686868,5,20,510.71300459067197,gp,0.5473684210526315,0.4865367790985408,0.0,0.4481203007518797,0.6725121832776032,0.2663148685592013,0.75,-1.4042460189329929e-07
5,42,100,0.05,controlled_d5_s42,controlled_d5_s42::region_1,"[0.6331861015238408, 1.0065390600916813, -2.1569861278489464, -2.8136649394151636, -1.883698432781908]","[[8.757901689527873, 1.530297138770923, 3.9760345499649086, 0.634445378406608, -0.4221809998620436], [1.530297138770923, 8.637231104563634, 2.1234942082926462, -3.9669382474081925, 2.2125965174859226], [3.9760345499649086, 2.1234942082926462, 2.594316173976537, -0.9342253818077787, 0.8740849977686017], [0.634445378406608, -3.9669382474081925, -0.9342253818077787, 2.8038456278506834, -1.062018853294651], [-0.4221809998620436, 2.2125965174859226, 0.8740849977686017, -1.062018853294651, 3.7998233023285546]]",0.9074074074074074,6,20,510.71300459067197,gp,0.35939849624060144,0.7747618853474786,0.0,0.524812030075188,0.8572568568300623,0.27844825653841704,0.7,-1.760469424974162e-13
5,42,100,0.05,controlled_d5_s42,controlled_d5_s42::region_2,"[-0.198565721598094, -0.2973196507400939, 2.8602829050790306, -1.622646021974365, 2.1311178219756055]","[[1.8407473451620493, -2.4822047269754797, -0.49361774854639984, -0.4974537650674832, 0.29382239768220275], [-2.4822047269754797, 4.509483231698473, -0.23804105568548667, -0.31772053791048355, -0.0016494569181555508], [-0.49361774854639984, -0.23804105568548667, 1.9823707272510895, 1.8806122332972226, -1.937242826551709], [-0.4974537650674832, -0.31772053791048355, 1.8806122332972226, 4.38603383366392, -1.1306855925797623], [0.29382239768220275, -0.0016494569181555508, -1.937242826551709, -1.1306855925797623, 5.376975010867339]]",0.9113355780022447,9,27,510.71300459067197,gp,-0.6318681318681317,0.38826989271931983,0.0,0.5402930402930403,0.7333415589370927,0.0,0.6666666666666667,-6.41607208812894e-09
5,42,250,0.0,controlled_d5_s42,controlled_d5_s42::region_0,"[0.5213546875445411, -0.5247035699209982, -0.10004840924656369, 1.025359840194577, 0.2245576020267246]","[[5.283768202478527, -0.35089502931631295, -0.5344402026755288, -0.11218006186881242, 2.3254302192464618], [-0.35089502931631295, 6.975108862031273, 2.31366797697442, -2.4305213260922547, 0.8303149051444219], [-0.5344402026755288, 2.31366797697442, 6.312839885625281, -3.235954267024306, 1.8387620295811142], [-0.11218006186881242, -2.4305213260922547, -3.235954267024306, 4.327074123652013, -1.7061255696628757], [2.3254302192464618, 0.8303149051444219, 1.8387620295811142, -1.7061255696628757, 5.134320104883334]]",0.9016064257028112,50,96,1156.2616351925103,gp,0.45710797612588167,0.7394881797316759,0.4,0.5754205100379816,0.7363004702880562,0.3380259452061586,0.47916666666666663,-0.002634113834385574
5,42,250,0.02,controlled_d5_s42,controlled_d5_s42::region_0,"[-0.38615354532344964, -0.4144834472233376, 0.18386847776143764, -0.4336748805117064, 0.45443323396196206]","[[8.51117573484745, 0.11326678523422401, 0.58679892601197, 1.975427332509302, -0.42287375646244274], [0.11326678523422401, 7.4742090522712825, -1.3011099568661508, 1.0440197678309917, -0.14874438486635183], [0.58679892601197, -1.3011099568661508, 8.235113291097555, 0.09632703924936853, 1.7615406895096752], [1.975427332509302, 1.0440197678309917, 0.09632703924936853, 8.66060967115965, 0.8463825188337616], [-0.42287375646244274, -0.14874438486635183, 1.7615406895096752, 0.8463825188337616, 9.24109784787014]]",0.9016064257028112,50,96,1311.7148709274313,gp,-0.21627780792186654,0.3272581340044445,0.0,-0.4734943027672273,0.37151813601271827,0.0,0.47916666666666663,-5.1207169778211705e-06
5,42,250,0.05,controlled_d5_s42,controlled_d5_s42::region_0,"[-0.33843458685486366, -0.347143509833337, 0.12311987091674964, 0.35788929262970287, -0.22365980637049304]","[[7.1237818759711535, -1.0826878726671343, -0.5481213980780797, 0.8415674308616155, 1.6168387147334116], [-1.0826878726671343, 8.116086864336182, 0.2779008447426089, 2.1358292250253017, -0.24762308999607816], [-0.5481213980780797, 0.2779008447426089, 9.485557023195454, -2.9271496460555255, 2.3339197549444073], [0.8415674308616155, 2.1358292250253017, -2.9271496460555255, 7.9063026751442855, -1.7719979375847013], [1.6168387147334116, -0.24762308999607816, 2.3339197549444073, -1.7719979375847013, 9.42071291381219]]",0.9016064257028112,50,96,1298.5987335901425,gp,0.03962289744981009,0.3942980159961579,0.0,-0.45874932175800326,0.2610716300178575,0.015623229852479341,0.47916666666666663,-0.00017613701291252013
5,42,500,0.0,controlled_d5_s42,controlled_d5_s42::region_0,"[0.7384174124583402, -0.0004407110466180919, -0.03602160753911027, 0.5981038685868719, 0.6351529148595891]","[[6.635598635379362, -0.11286246445627056, -0.369219096247455, 0.5859591824927666, 2.1982791385440685], [-0.11286246445627056, 8.314229369159753, 3.3194914487548353, -4.5810201685207526, 1.5467596971442938], [-0.369219096247455, 3.3194914487548353, 4.764318472920947, -3.0777708932095615, 0.9235654796261807], [0.5859591824927666, -4.5810201685207526, -3.0777708932095615, 7.351198228349793, -2.0677721700315725], [2.1982791385440685, 1.5467596971442938, 0.9235654796261807, -2.0677721700315725, 4.317758540420194]]",0.9008016032064128,100,96,2287.949758228701,gp,0.10793543136190993,0.42066149522673385,0.1,0.3829354313619099,0.48810592015387494,0.045404279944643536,0.0,-0.00014414625892467301
5,42,500,0.02,controlled_d5_s42,controlled_d5_s42::region_0,"[-0.0030214962803700287, 0.03557243621620716, 0.25404944463039564, 0.0007826903344404901, -0.09960376639446665]","[[8.469758087732515, 0.5738792206666516, 0.8132475106364727, -0.2652586842808269, -0.4858449780423863], [0.5738792206666516, 8.860482997659593, -0.8223683727629718, -0.8591268361103264, 0.880819568828555], [0.8132475106364727, -0.8223683727629718, 7.492128409643297, 0.6122819500245729, -0.40252833121873743], [-0.2652586842808269, -0.8591268361103264, 0.6122819500245729, 8.054793192350612, -0.14128294911354744], [-0.4858449780423863, 0.880819568828555, -0.40252833121873743, -0.14128294911354744, 7.745704163307871]]",0.9008016032064128,100,96,2551.5429972702445,gp,-0.12505425935973954,0.41570781622374864,0.1,-0.0010444926749864352,0.5319059180254027,0.0,0.0,-2.426433444758688e-05
5,42,500,0.05,controlled_d5_s42,controlled_d5_s42::region_0,"[0.0881861974041296, -0.10645124514999786, 0.31282056778706463, 0.4297833800904243, 0.21601921222539025]","[[9.012832678705054, -0.17921582860625576, -0.059521265454508324, -0.15091562336608466, -0.5254235322376306], [-0.17921582860625576, 8.372382413446449, -1.9174431570295627, -0.6348605968635437, -1.8239110308474897], [-0.059521265454508324, -1.9174431570295627, 8.501825108058545, -0.03225175021459407, -0.5294025006776052], [-0.15091562336608466, -0.6348605968635437, -0.03225175021459407, 8.378171646972117, 0.3708137114287847], [-0.5254235322376306, -1.8239110308474897, -0.5294025006776052, 0.3708137114287847, 9.299281905035627]]",0.9008016032064128,100,96,2580.858657602282,gp,-0.17767227346717307,0.3611409299584844,0.0,-0.17934074877916442,0.3907245776975172,0.0,0.0,-8.241774200737844e-05
5,101,100,0.0,controlled_d5_s101,controlled_d5_s101::region_0,"[-0.34366274755306825, -1.801516833017109, -0.744194503059779, 0.9613687698358652, -1.9173763312813026]","[[3.4134677229425985, -0.3724297611840931, -0.49034781412753325, -0.12358199685175456, -0.05313525135411992], [-0.3724297611840931, 2.791297935637238, 0.2827161626334683, -0.3588983210266115, 0.035125321068043884], [-0.49034781412753325, 0.2827161626334683, 7.1720169791229305, -1.5157883396239054, -2.8604812634239987], [-0.12358199685175456, -0.3588983210266115, -1.5157883396239054, 5.704554574346283, 2.2172726888894867], [-0.05313525135411992, 0.035125321068043884, -2.8604812634239987, 2.2172726888894867, 6.4983059536152]]",0.904040404040404,20,60,492.6823016884353,gp,0.9150154412642929,0.9391422347469296,0.6666666666666666,0.7813281467074189,0.8628151260092408,0.8593296463368959,0.6666666666666667,-0.0011187054451094664
5,101,100,0.02,controlled_d5_s101,controlled_d5_s101::region_0,"[0.6439466782221316, 0.36246126038070314, -0.8619660697791112, 0.23952010770885895, 0.6719986713186403]","[[9.190066682457308, 1.3664110974752672, 1.4179317314642361, -1.3643777582543073, 3.153778832898768], [1.3664110974752672, 9.41934532292115, 1.080366979402752, 0.6463211853200838, 1.0543306281378197], [1.4179317314642361, 1.080366979402752, 6.932692867187158, -3.545187328097992, 1.596749635212717], [-1.3643777582543073, 0.6463211853200838, -3.545187328097992, 9.401412590583934, -4.296541801129227], [3.153778832898768, 1.0543306281378197, 1.596749635212717, -4.296541801129227, 10.055497919268483]]",0.904040404040404,20,63,549.8782573028171,gp,-0.013248847926267281,0.43444715307310766,0.0,-0.2115015360983103,0.5710176599488487,0.0,0.6825396825396826,-1.6394528817612686e-16
5,101,100,0.05,controlled_d5_s101,controlled_d5_s101::region_0,"[-2.806816234110557, 0.8229072272396855, -0.8202191307878539, -0.7844329916650155, -3.573481031897517]","[[4.196324253038657, 0.12074122839714516, -3.009444480016767, -1.4126613115504483, 0.3165680368187447], [0.12074122839714516, 6.509100184887736, 6.5419214324255615, -4.103429567007109, -1.5092536330770694], [-3.009444480016767, 6.5419214324255615, 9.53191499384273, -1.1798919656626936, -1.9488136161548657], [-1.4126613115504483, -4.103429567007109, -1.1798919656626936, 9.380111747161497, 0.2812869826827443], [0.3165680368187447, -1.5092536330770694, -1.9488136161548657, 0.2812869826827443, 0.436695693438746]]",0.8964646464646465,4,20,510.60313067666834,gp,0.3578947368421052,0.9397597700304111,0.5,0.2902255639097744,0.8572647985478274,0.3363350755898313,0.8,-5.111077918890666e-09
