relation,target_context_size,method,instances,standardized_rmse,ndcg_at_top,pairwise_accuracy,normalized_top1_regret,negative_transfer_rate,interval_coverage_95
wrong,12,Calibrated-Source+Residual,64,0.3461489195534006,0.9969964969037205,0.922844825025125,0.006958584685549214,0.15625,0.9651896158854166
wrong,12,Fixed-Source+Residual,64,0.421873356926274,0.9716690748332196,0.899409924523305,0.0668042798731597,0.515625,0.9649454752604166
wrong,12,Gated-Source+Residual,64,0.3470745755947839,0.9969384486752402,0.9232534236982561,0.007667514542348136,0.0625,0.96728515625
wrong,12,Source-Affine-Only,64,0.9337930013211525,0.4903882477010415,0.6034928246183091,0.6545276904504017,0.984375,0.9456583658854166
wrong,12,Target-Only,64,0.36759112822774037,0.9973490274094914,0.917863496849196,0.005579602507152231,0.0,0.97216796875
wrong,20,Calibrated-Source+Residual,64,0.17350526057967522,0.9991708569217658,0.9690069789629508,0.0038360002983668733,0.0625,0.98699951171875
wrong,20,Fixed-Source+Residual,64,0.23113261240379482,0.9974393322087528,0.9545433710886572,0.00466279201561572,0.5,0.9815266927083334
wrong,20,Gated-Source+Residual,64,0.16885541887960287,0.9992117946856242,0.9705049265265102,0.003544648176690842,0.015625,0.9920450846354166
wrong,20,Source-Affine-Only,64,0.9248668052681326,0.48725851975116563,0.6123797542281388,0.6710270408678772,1.0,0.9609781901041666
wrong,20,Target-Only,64,0.1851603871804165,0.9993768832123474,0.9678164618474304,0.0024745880948296374,0.0,0.9909464518229166
