problem,dim,seed,scenario,policy,step,region_index,region_type,source_task_id,posterior_mean,posterior_std,lower_bound,upper_bound,probability_positive,global_compatibility_trust,coverage,status,true_gain,true_useful,region_candidate_index,region_candidate_y,target_top1_y,decision_mode,selected_region_index
GMM,2,101,mixed,posterior,6,14,random,random::struct_matched_random,-0.1646831564065263,0.9322045287740939,-1.0968876851806202,0.7675213723675676,0.4298877712949819,0.3799700299700104,3.0321025283682848,uncertain,-0.07225427709580035,0.0,1,-0.43654808453800453,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,15,random,random::struct_matched_random,-0.04153749227305401,0.8885994940043767,-0.9301369862774307,0.8470620017313226,0.4813582731990331,0.3799700299700104,1.0679705619793163,uncertain,-0.44961888959522933,0.0,19,-0.059183472038575546,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,16,wrong,wrong::wrong_0,0.22932490215469634,0.9789648348711415,-0.7496399327164451,1.2082897370258379,0.5926054973147583,0.3799700299700104,3.7244196782533754,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,17,wrong,wrong::merged_2,0.44290939916400923,0.896901263107599,-0.45399186394358976,1.3398106622716082,0.6892839832614718,0.3799700299700104,0.6863355644929617,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,18,wrong,wrong::wrong_0,0.10376196041848418,0.9759810869477851,-0.8722191265293009,1.0797430473662692,0.5423340005130586,0.3799700299700104,0.25044675584871445,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,19,wrong,wrong::wrong_1,0.2229600388148846,0.9583159636836412,-0.7353559248687567,1.1812760024985258,0.5919865734829199,0.3799700299700104,3.0956720751041367,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,20,wrong,wrong::wrong_1,0.24098644011277515,0.9869192805252877,-0.7459328404125125,1.2279057206380628,0.5964544843259572,0.3799700299700104,0.07581155558747486,uncertain,-0.44403020011872213,0.0,24,-0.06477216151508275,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,21,wrong,wrong::wrong_1,0.3280093212646102,0.9756278481504741,-0.6476185268858639,1.3036371694150843,0.6316412251139174,0.3799700299700104,0.14045026617710427,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,22,wrong,wrong::wrong_2,0.2553379934697837,0.972424378997054,-0.7170863855272703,1.2277623724668376,0.6035623659104897,0.3799700299700104,3.604495807149526,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,6,23,wrong,wrong::wrong_2,0.0,1.0,-1.0,1.0,0.5,0.3799700299700104,0.0,uncertain,0.0,0.0,0,-0.5088023616338049,-0.5088023616338049,target,
GMM,2,101,mixed,posterior,7,0,matching,matching::matching_0,0.14349775701634798,0.8730233309921099,-0.729525573975762,1.0165210880084579,0.5652795701004287,0.3451111740992524,3.3951425193012064,uncertain,0.4640433611209433,1.0,26,-0.4748927536754564,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,1,matching,matching::matching_0,0.624165121149599,0.9087868412456119,-0.28462172009601294,1.5329519623952108,0.7538991930922534,0.3451111740992524,0.49103191351264,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,2,matching,matching::merged_2,0.04672155466465611,0.9449910441547751,-0.898269489490119,0.9917125988194312,0.5197161790349758,0.3451111740992524,0.4635471244613616,uncertain,0.027514861565794017,1.0,11,-0.03836425412030712,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,3,matching,matching::matching_1,0.276776122292776,0.9343672633524227,-0.6575911410596467,1.2111433856451987,0.6164680840189048,0.3451111740992524,0.38004359909149665,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,4,matching,matching::matching_1,-0.2394179073829271,0.8216184525856552,-1.0610363599685824,0.5822005452027281,0.3853735029214708,0.3451111740992524,2.5099829072105715,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,5,matching,matching::matching_2,0.34528283297637385,0.9729952684402036,-0.6277124354638297,1.3182781014165774,0.6386549687361798,0.3451111740992524,0.15026599073542082,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,6,matching,matching::matching_2,0.06972566102614751,0.97566221614467,-0.9059365551185224,1.0453878771708174,0.5284861443600932,0.3451111740992524,0.21840045638825048,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,7,matching,matching::matching_2,0.05434905110639979,0.9437591196511244,-0.8894100685447246,0.9981081707575241,0.5229615328761962,0.3451111740992524,3.2814857316907853,uncertain,0.4640433611209433,1.0,26,-0.4748927536754564,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,8,random,random::struct_matched_random,-0.0928688893418464,0.9616921760774952,-1.0545610654193416,0.8688232867356489,0.461534652710817,0.3451111740992524,0.14186957770755532,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,9,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.3451111740992524,0.0,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,10,random,random::struct_matched_random,-0.007623731614031043,0.9014046107494552,-0.9090283423634863,0.8937808791354241,0.4966259406931484,0.3451111740992524,0.8686255530738293,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,11,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.3451111740992524,0.0,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,12,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.3451111740992524,0.0,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
GMM,2,101,mixed,posterior,7,13,random,random::struct_matched_random,0.0,1.0,-1.0,1.0,0.5,0.3451111740992524,0.0,uncertain,0.0,0.0,0,-0.010849392554513103,-0.010849392554513103,target,
