problem,dim,seed,scenario,policy,step,best_y,normalized_regret,mode,selected_target_rank,selected_region_index,excess_improvement_residual,global_compatibility_trust,trusted_regions,rejected_regions,uncertain_regions
GMM,2,101,wrong,posterior,1,-0.31590510428679913,1.0,target,0,,-0.21949109304826808,0.3561224489795638,0,0,8
GMM,2,101,wrong,posterior,2,-0.4994685474438071,0.7317445768467744,target,0,,2.7608334215106507,0.2874999999999789,0,0,8
GMM,2,101,wrong,posterior,3,-0.4994685474438071,0.7317445768467744,target,0,,-0.3029448411947863,0.3721428571428325,0,0,8
GMM,2,101,wrong,posterior,4,-0.527977365195921,0.690082441738804,target,0,,0.12457275403201284,0.3595254010694964,0,0,8
GMM,2,101,wrong,posterior,5,-0.5986247758126262,0.5868399294840407,target,0,,0.7245002809349124,0.4182940516273608,0,0,8
GMM,2,101,wrong,posterior,6,-0.5986247758126262,0.5868399294840407,target,0,,-0.21710122782183458,0.43471659919025984,0,0,8
GMM,2,101,wrong,posterior,7,-0.5986247758126262,0.5868399294840407,target,0,,-0.07939671814997416,0.4565434565434332,0,0,8
GMM,2,101,wrong,posterior,8,-0.5986247758126262,0.5868399294840407,target,0,,-0.07487904731178265,0.42318499622068995,0,0,8
GMM,2,101,wrong,arise,1,-0.31590510428679913,1.0,probe,2,0.0,-0.21951785673851856,0.3561224489795638,0,0,8
GMM,2,101,wrong,arise,2,-0.31590510428679913,1.0,target,0,,-0.213539555211447,0.3805555555555282,0,0,8
GMM,2,101,wrong,arise,3,-0.31590510428679913,1.0,target,0,,-0.17090939268076805,0.36023809523807127,0,0,8
GMM,2,101,wrong,arise,4,-0.31590510428679913,1.0,probe,2,3.0,-0.17627944238356344,0.31981951871655756,0,0,8
GMM,2,101,wrong,arise,5,-0.32057427090111856,0.9931765865558217,target,0,,-0.16887981780255143,0.33379830046494763,0,0,8
GMM,2,101,wrong,arise,6,-0.32057427090111856,0.9931765865558217,target,0,,-0.17092210412440922,0.31206622325041666,0,0,8
GMM,2,101,wrong,arise,7,-0.32057427090111856,0.9931765865558217,probe,3,1.0,-0.25459764422469555,0.3277847152846983,0,0,8
GMM,2,101,wrong,arise,8,-0.32057427090111856,0.9931765865558217,target,0,,-0.18250886932690832,0.3374187452758716,0,0,8
Rastrigin,2,42,matching,target_only,1,29.314341565150336,1.0,target,0,,-0.6279512764520514,0.04999999999999375,0,0,5
Rastrigin,2,42,matching,target_only,2,29.314341565150336,1.0,target,0,,-0.5182009219710594,0.04444444444443951,0,0,5
Rastrigin,2,42,matching,target_only,3,29.314341565150336,1.0,target,0,,-0.18037729886588857,0.039999999999996004,0,0,5
Rastrigin,2,42,matching,target_only,4,29.314341565150336,1.0,target,0,,-0.46198073409700086,0.1334224598930391,0,0,5
Rastrigin,2,42,matching,target_only,5,19.942494097992423,0.6802982101327695,target,0,,1.9237015592877562,0.03333333333333056,0,0,5
Rastrigin,2,42,matching,target_only,6,19.942494097992423,0.6802982101327695,target,0,,-0.7086147171131539,0.09740456911508957,0,0,5
Rastrigin,2,42,matching,target_only,7,19.942494097992423,0.6802982101327695,target,0,,-0.5400023049504075,0.19666583416582376,0,0,5
Rastrigin,2,42,matching,target_only,8,19.942494097992423,0.6802982101327695,target,0,,-0.7501970691525875,0.19730946082135567,0,0,5
Rastrigin,2,42,matching,fixed,1,29.314341565150336,1.0,fixed,0,,-0.6279512764520514,0.04999999999999375,0,0,5
Rastrigin,2,42,matching,fixed,2,29.314341565150336,1.0,fixed,0,,-0.5182009219710594,0.04444444444443951,0,0,5
Rastrigin,2,42,matching,fixed,3,29.314341565150336,1.0,fixed,0,0.0,-0.18037729886588857,0.039999999999996004,0,0,5
Rastrigin,2,42,matching,fixed,4,29.314341565150336,1.0,fixed,5,0.0,-0.3733751701594657,0.1334224598930391,0,0,5
Rastrigin,2,42,matching,fixed,5,13.209518054560878,0.45061622909738835,fixed,1,0.0,3.040316942650642,0.1550264550264455,2,0,3
Rastrigin,2,42,matching,fixed,6,13.209518054560878,0.45061622909738835,fixed,1,0.0,-0.8451541830559371,0.2243782533256092,1,0,4
Rastrigin,2,42,matching,fixed,7,13.209518054560878,0.45061622909738835,fixed,2,0.0,-0.5909198601503857,0.2344280719280596,1,0,4
Rastrigin,2,42,matching,fixed,8,8.244946211407091,0.28125981247379955,fixed,0,0.0,0.9335970381277467,0.1957662509448126,1,0,4
Rastrigin,2,42,matching,global_adaptive,1,29.314341565150336,1.0,target,0,,-0.6279512764520514,0.04999999999999375,0,0,5
Rastrigin,2,42,matching,global_adaptive,2,29.314341565150336,1.0,target,0,,-0.5182009219710594,0.04444444444443951,0,0,5
Rastrigin,2,42,matching,global_adaptive,3,29.314341565150336,1.0,target,0,,-0.18037729886588857,0.039999999999996004,0,0,5
Rastrigin,2,42,matching,global_adaptive,4,29.314341565150336,1.0,global,2,0.0,-0.38383679837137297,0.1334224598930391,0,0,5
Rastrigin,2,42,matching,global_adaptive,5,29.314341565150336,1.0,global,1,0.0,-0.4869109492650781,0.1537972315749999,0,0,5
Rastrigin,2,42,matching,global_adaptive,6,27.49218804868664,0.9378408854105077,global,1,0.0,0.056030327825425726,0.22437825332560926,0,0,5
Rastrigin,2,42,matching,global_adaptive,7,27.49218804868664,0.9378408854105077,global,0,0.0,-0.6604663265006884,0.07446303696303265,0,0,5
Rastrigin,2,42,matching,global_adaptive,8,27.49218804868664,0.9378408854105077,target,0,,-0.766022202440164,0.12773904006046208,0,0,5
Rastrigin,2,42,matching,posterior,1,29.314341565150336,1.0,target,0,,-0.6279512764520514,0.04999999999999375,0,0,5
Rastrigin,2,42,matching,posterior,2,29.314341565150336,1.0,target,0,,-0.5182009219710594,0.04444444444443951,0,0,5
Rastrigin,2,42,matching,posterior,3,29.314341565150336,1.0,target,0,,-0.18037729886588857,0.039999999999996004,0,0,5
Rastrigin,2,42,matching,posterior,4,29.314341565150336,1.0,target,0,,-0.46198073409700086,0.1334224598930391,0,0,5
Rastrigin,2,42,matching,posterior,5,19.942494097992423,0.6802982101327695,target,0,,1.9237015592877562,0.03333333333333056,0,0,5
Rastrigin,2,42,matching,posterior,6,19.942494097992423,0.6802982101327695,target,0,,-0.7086147171131539,0.09740456911508957,0,0,5
Rastrigin,2,42,matching,posterior,7,19.942494097992423,0.6802982101327695,target,0,,-0.5400023049504075,0.19666583416582376,0,0,5
Rastrigin,2,42,matching,posterior,8,19.942494097992423,0.6802982101327695,target,0,,-0.7501970691525875,0.19730946082135567,0,0,5
Rastrigin,2,42,matching,arise,1,29.314341565150336,1.0,target,0,,-0.6279512764520514,0.04999999999999375,0,0,5
Rastrigin,2,42,matching,arise,2,29.314341565150336,1.0,target,0,,-0.5182009219710594,0.04444444444443951,0,0,5
Rastrigin,2,42,matching,arise,3,29.314341565150336,1.0,target,0,,-0.18037729886588857,0.039999999999996004,0,0,5
Rastrigin,2,42,matching,arise,4,29.314341565150336,1.0,probe,2,0.0,-0.38383679837137297,0.1334224598930391,0,0,5
Rastrigin,2,42,matching,arise,5,29.314341565150336,1.0,target,0,,-0.4794872504261954,0.1537972315749999,0,0,5
Rastrigin,2,42,matching,arise,6,29.314341565150336,1.0,target,0,,-0.45229019343141896,0.21732938114515846,0,0,5
Rastrigin,2,42,matching,arise,7,29.314341565150336,1.0,probe,0,0.0,-0.5069594323542249,0.20846653346652244,0,0,5
Rastrigin,2,42,matching,arise,8,29.314341565150336,1.0,target,0,,-0.5235865135609871,0.20225403124211636,0,0,5
Rastrigin,2,42,mixed,target_only,1,29.314341565150336,1.0,target,0,,-0.6279512764520514,0.20612244897957444,0,0,15
Rastrigin,2,42,mixed,target_only,2,29.314341565150336,1.0,target,0,,-0.5182009219710594,0.25185185185183306,0,0,15
Rastrigin,2,42,mixed,target_only,3,29.314341565150336,1.0,target,0,,-0.18037729886588857,0.1721428571428449,0,0,15
Rastrigin,2,42,mixed,target_only,4,29.314341565150336,1.0,target,0,,-0.46198073409700086,0.22055481283421052,0,0,15
Rastrigin,2,42,mixed,target_only,5,19.942494097992423,0.6802982101327695,target,0,,1.9237015592877562,0.11307252418362812,0,0,15
Rastrigin,2,42,mixed,target_only,6,19.942494097992423,0.6802982101327695,target,0,,-0.7086147171131539,0.14298727588200444,0,0,15
Rastrigin,2,42,mixed,target_only,7,19.942494097992423,0.6802982101327695,target,0,,-0.5400023049504075,0.14920079920079116,0,0,15
Rastrigin,2,42,mixed,target_only,8,19.942494097992423,0.6802982101327695,target,0,,-0.7501970691525875,0.1387540942302776,0,0,15
Rastrigin,2,42,mixed,fixed,1,29.314341565150336,1.0,fixed,0,13.0,-0.6279512764520514,0.20612244897957444,0,0,15
Rastrigin,2,42,mixed,fixed,2,29.314341565150336,1.0,fixed,0,13.0,-0.5182009219710594,0.25185185185183306,0,0,15
Rastrigin,2,42,mixed,fixed,3,29.314341565150336,1.0,fixed,0,0.0,-0.18037729886588857,0.1721428571428449,0,0,15
Rastrigin,2,42,mixed,fixed,4,29.314341565150336,1.0,fixed,1,5.0,-0.4482018078511522,0.22055481283421052,0,0,15
Rastrigin,2,42,mixed,fixed,5,19.942494097992423,0.6802982101327695,fixed,4,0.0,2.4062219964323797,0.2269627491849579,0,0,15
Rastrigin,2,42,mixed,fixed,6,19.942494097992423,0.6802982101327695,fixed,0,0.0,-0.6363932995128754,0.24543088490455547,0,0,15
Rastrigin,2,42,mixed,fixed,7,6.825677852045494,0.23284431740947034,fixed,0,0.0,3.0521861849623164,0.21161338661337545,1,0,14
Rastrigin,2,42,mixed,fixed,8,6.825677852045494,0.23284431740947034,fixed,2,0.0,-0.4713830137152745,0.1499266187956588,0,0,15
Rastrigin,2,42,mixed,global_adaptive,1,29.314341565150336,1.0,global,0,13.0,-0.6279512764520514,0.20612244897957444,0,0,15
Rastrigin,2,42,mixed,global_adaptive,2,29.314341565150336,1.0,global,0,13.0,-0.5182009219710594,0.25185185185183306,0,0,15
Rastrigin,2,42,mixed,global_adaptive,3,29.314341565150336,1.0,global,0,0.0,-0.18037729886588857,0.1721428571428449,0,0,15
Rastrigin,2,42,mixed,global_adaptive,4,29.314341565150336,1.0,global,1,5.0,-0.4482018078511522,0.22055481283421052,0,0,15
Rastrigin,2,42,mixed,global_adaptive,5,26.3282008973039,0.8981337970286722,global,0,5.0,0.32311573062612076,0.2269627491849579,0,0,15
Rastrigin,2,42,mixed,global_adaptive,6,26.3282008973039,0.8981337970286722,global,0,0.0,-0.46508971765242957,0.13678426836320784,0,0,15
Rastrigin,2,42,mixed,global_adaptive,7,26.3282008973039,0.8981337970286722,global,0,14.0,-0.4362091457183501,0.10776723276722677,0,0,15
Rastrigin,2,42,mixed,global_adaptive,8,26.3282008973039,0.8981337970286722,global,0,5.0,-0.4464156186897093,0.10651990425799393,0,0,15
Rastrigin,2,42,mixed,posterior,1,29.314341565150336,1.0,target,0,,-0.6279512764520514,0.20612244897957444,0,0,15
Rastrigin,2,42,mixed,posterior,2,29.314341565150336,1.0,target,0,,-0.5182009219710594,0.25185185185183306,0,0,15
Rastrigin,2,42,mixed,posterior,3,29.314341565150336,1.0,target,0,,-0.18037729886588857,0.1721428571428449,0,0,15
Rastrigin,2,42,mixed,posterior,4,29.314341565150336,1.0,target,0,,-0.46198073409700086,0.22055481283421052,0,0,15
Rastrigin,2,42,mixed,posterior,5,19.942494097992423,0.6802982101327695,target,0,,1.9237015592877562,0.11307252418362812,0,0,15
Rastrigin,2,42,mixed,posterior,6,19.942494097992423,0.6802982101327695,target,0,,-0.7086147171131539,0.14298727588200444,0,0,15
Rastrigin,2,42,mixed,posterior,7,19.942494097992423,0.6802982101327695,target,0,,-0.5400023049504075,0.14920079920079116,0,0,15
Rastrigin,2,42,mixed,posterior,8,19.942494097992423,0.6802982101327695,target,0,,-0.7501970691525875,0.1387540942302776,0,0,15
Rastrigin,2,42,mixed,arise,1,29.314341565150336,1.0,probe,1,5.0,-0.5967961942487207,0.20612244897957444,0,0,15
Rastrigin,2,42,mixed,arise,2,29.314341565150336,1.0,target,0,,-0.5648459978602244,0.2041666666666511,0,0,15
Rastrigin,2,42,mixed,arise,3,29.314341565150336,1.0,target,0,,-0.23767321331003813,0.12333333333332414,0,0,15
Rastrigin,2,42,mixed,arise,4,29.314341565150336,1.0,probe,2,0.0,-0.2535181412261662,0.11356951871656973,0,0,15
Rastrigin,2,42,mixed,arise,5,29.314341565150336,1.0,target,0,,-0.4655233763706987,0.1063385174496217,0,0,15
Rastrigin,2,42,mixed,arise,6,29.314341565150336,1.0,target,0,,-0.6315205237183256,0.07287449392712093,0,0,15
