seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seeds
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,mean_negative_log_likelihood,-2.2203579716664863,-2.036289031694805,0.18406893997168128,2.7569672403288212,0.10913820579915331,5.988713429712233,0.75,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,interval_coverage_95,1.0,1.0,0.0,-0.1982421875,-0.40234375,-0.021484375,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,pairwise_accuracy,0.859375,0.859375,0.0,-0.06371493602362203,-0.1230949341781496,-0.012364665354330714,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,ndcg_at_top,0.9279942052699574,0.9279942052699574,0.0,0.013124216985193587,-0.08695111916377336,0.14384027108122263,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,normalized_top1_regret,0.008472665198335,0.008472665198335,0.0,0.028349289836981484,-0.13920719432370685,0.2570723497441201,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,standardized_rmse,0.5840298250022368,0.5840298250022368,0.0,-0.7144881239871607,-1.440141359988453,-0.1383647856792813,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,spearman,0.8963502563633032,0.8963502563633032,0.0,-0.1418782045412928,-0.28013127174510166,-0.023810886284563265,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,precision_at_top,0.4615384615384615,0.4615384615384615,0.0,2.0816681711721685e-17,-0.1348557692307692,0.13461538461538464,0.25,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,mean_negative_log_likelihood,-2.2203579716664863,-2.2203579716664863,0.0,4.687355539998558,0.24179841386300593,10.76780703534547,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,interval_coverage_95,1.0,1.0,0.0,-0.19140625,-0.349609375,-0.0498046875,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,pairwise_accuracy,0.859375,0.8330462598425197,-0.026328740157480324,-0.06662155511811024,-0.12341596948818896,-0.017796121432086767,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,ndcg_at_top,0.9279942052699574,0.938530198971288,0.010535993701330626,0.016746976629544844,-0.08118225724985166,0.13723371417365673,0.375,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,normalized_top1_regret,0.008472665198335,0.0,0.008472665198335,0.02940837298677336,-0.13919404811587766,0.25760558458074484,0.25,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,standardized_rmse,0.5840298250022368,0.7261754014989288,-0.14214557649669202,-0.7711696281779001,-1.4834032854736217,-0.15613298251661956,0.0,8
