seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,geometry,1,0.8801673228346457,0.8139459545643349,0.293644409873075,1.427357709336381,0.9215917414392968,0.3076923076923077,0.3724715576125526,0.421875
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,rank,1,0.6811023622047244,0.6093824677839754,0.9368162277887668,3.140238520924224,0.5494414942318256,0.3076923076923077,9.291320639661013,0.28125
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,target_only,1,0.8823818897637795,0.9187060358643984,0.0851780864022008,1.8231776377399664,0.9274686412744918,0.4615384615384615,-0.4039970586291144,0.7421875
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,value,1,0.6446850393700787,0.5492177065646352,0.9362290718284816,3.133984247729179,0.4389019868156015,0.0769230769230769,10.32521253412974,0.2734375
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,dual,1,0.6610482283464567,0.555378909615709,0.6688197725888259,1.5243106344638888,0.4783693462735762,0.1538461538461538,10.19351914024688,0.3203125
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,geometry,1,0.8623277559055118,0.8078945092387584,0.2067090870835566,0.4395935249781199,0.9026506134407616,0.3076923076923077,-0.7936391116822428,0.765625
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,1,0.6844242125984252,0.5826230201466813,0.6688197725888259,1.3806268707672782,0.5338880241713971,0.1538461538461538,7.364953177387777,0.34375
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,target_only,1,0.8537155511811023,0.8818090344379509,0.112859046234881,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,value,1,0.6459153543307087,0.53124704688591,0.6688197725888259,1.562509595171085,0.434427073796008,0.2307692307692307,10.880714959694169,0.3359375
71,identity,none,identity,identity,0.35,dual,1,0.9338090551181102,0.9969797145596024,0.0,0.111335468922992,0.9611449368247572,0.9230769230769232,-3.746520054023036,0.8125
71,identity,none,identity,identity,0.35,geometry,1,0.9048966535433072,0.9683532686292204,0.0,0.4382123756837128,0.9526300128181652,0.7692307692307693,-2.3655592048339056,0.8828125
71,identity,none,identity,identity,0.35,rank,1,0.9048966535433072,0.9840206741599808,0.0,0.2817689108665022,0.9440292528840872,0.8461538461538461,-2.8605926209744457,0.8125
71,identity,none,identity,identity,0.35,target_only,1,0.9085875984251968,0.953965995386866,0.0,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,identity,none,identity,identity,0.35,value,1,0.955339566929134,0.998504491420878,0.0,0.0486300324100701,0.9770417505951292,0.9230769230769232,-4.576521576340715,1.0
71,identity,none,identity,identity,0.7,dual,1,0.9375,0.9969442019826732,0.0,0.3813573612226292,0.97153108405054,0.9230769230769232,0.7859817092372035,0.234375
71,identity,none,identity,identity,0.7,geometry,1,0.8801673228346457,0.8139459545643349,0.293644409873075,1.427357709336381,0.9215917414392968,0.3076923076923077,0.3724715576125526,0.421875
71,identity,none,identity,identity,0.7,rank,1,0.922613188976378,0.9897595250118482,0.0,0.9887060222137884,0.96247825489837,0.8461538461538461,1.5322230222182691,0.234375
71,identity,none,identity,identity,0.7,target_only,1,0.8823818897637795,0.9187060358643984,0.0851780864022008,1.8231776377399664,0.9274686412744918,0.4615384615384615,-0.4039970586291144,0.7421875
71,identity,none,identity,identity,0.7,value,1,0.9483267716535432,0.9995054202671037,0.0,0.1551093226747368,0.9785696301043764,1.0,-2.7492055707896994,0.7421875
71,identity,none,identity,identity,1.0,dual,1,0.9669045275590552,0.997171397349553,0.0,0.0974147674612937,0.990271928218275,0.9230769230769232,-1.778554143446733,0.75
71,identity,none,identity,identity,1.0,geometry,1,0.8623277559055118,0.8078945092387584,0.2067090870835566,0.4395935249781199,0.9026506134407616,0.3076923076923077,-0.7936391116822428,0.765625
71,identity,none,identity,identity,1.0,rank,1,0.9422982283464568,0.9956871026628884,0.0,0.2193732103181725,0.974649789415858,0.9230769230769232,-1.4558352402886623,0.828125
71,identity,none,identity,identity,1.0,target_only,1,0.8537155511811023,0.8818090344379509,0.112859046234881,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,identity,none,identity,identity,1.0,value,1,0.9733021653543308,0.9986276991904134,0.0,0.0648995125352198,0.9941917689067936,1.0,-2.5024722933356687,0.8046875
71,independent_expert,none,independent_expert,independent_expert,0.35,dual,1,0.577755905511811,0.6246789454793796,0.5614813149065697,2.808845913738549,0.1990134590734297,0.0,5.496395718357826,0.3359375
71,independent_expert,none,independent_expert,independent_expert,0.35,geometry,1,0.9048966535433072,0.9683532686292204,0.0,0.4382123756837128,0.9526300128181652,0.7692307692307693,-2.3655592048339056,0.8828125
71,independent_expert,none,independent_expert,independent_expert,0.35,rank,1,0.5820620078740157,0.6214588556623297,0.5614813149065697,2.776004581867341,0.2058002197399743,0.0,5.268548381281557,0.328125
71,independent_expert,none,independent_expert,independent_expert,0.35,target_only,1,0.9085875984251968,0.953965995386866,0.0,0.4964978839168781,0.95445545687603,0.5384615384615384,-2.1338692656424154,1.0
71,independent_expert,none,independent_expert,independent_expert,0.35,value,1,0.578986220472441,0.6233491724302357,0.4389812418755674,2.587419434662564,0.2104639718000366,0.0,4.4223612416972005,0.4375
71,independent_expert,none,independent_expert,independent_expert,0.7,dual,1,0.6055610236220472,0.6182872262113372,0.6296459466671507,2.2177961656654506,0.3681274034059696,0.0,1.5157302630712706,0.5078125
71,independent_expert,none,independent_expert,independent_expert,0.7,geometry,1,0.8801673228346457,0.8139459545643349,0.293644409873075,1.427357709336381,0.9215917414392968,0.3076923076923077,0.3724715576125526,0.421875
71,independent_expert,none,independent_expert,independent_expert,0.7,rank,1,0.6131889763779528,0.611860670920973,0.6296459466671507,2.118919214617592,0.3874404870902765,0.0,1.2779732906964711,0.515625
71,independent_expert,none,independent_expert,independent_expert,0.7,target_only,1,0.8823818897637795,0.9187060358643984,0.0851780864022008,1.8231776377399664,0.9274686412744918,0.4615384615384615,-0.4039970586291144,0.7421875
71,independent_expert,none,independent_expert,independent_expert,0.7,value,1,0.6208169291338582,0.6240307155315438,0.6296459466671507,2.2747146901539548,0.4260151529023988,0.0,1.5380535389822008,0.5078125
71,independent_expert,none,independent_expert,independent_expert,1.0,dual,1,0.7293307086614174,0.6323844989414401,0.3015622665978399,1.1267982448733582,0.6239241897088444,0.1538461538461538,1.779608481439822,0.5
71,independent_expert,none,independent_expert,independent_expert,1.0,geometry,1,0.8623277559055118,0.8078945092387584,0.2067090870835566,0.4395935249781199,0.9026506134407616,0.3076923076923077,-0.7936391116822428,0.765625
71,independent_expert,none,independent_expert,independent_expert,1.0,rank,1,0.7316683070866141,0.6323844989414401,0.3015622665978399,1.1128682429098915,0.6298468687053652,0.1538461538461538,1.6725151711353794,0.5078125
71,independent_expert,none,independent_expert,independent_expert,1.0,target_only,1,0.8537155511811023,0.8818090344379509,0.112859046234881,0.4995668499212354,0.8920355704083499,0.4615384615384615,-0.9097381186752048,0.9453125
71,independent_expert,none,independent_expert,independent_expert,1.0,value,1,0.7333907480314961,0.6247449377686194,0.3015622665978399,1.0747445884338287,0.6373145943966306,0.1538461538461538,1.4401131107143674,0.5
71,output_affine,none,output_affine,output_affine,0.35,dual,1,0.9338090551181102,0.9969797145596024,0.0,0.1113354689229911,0.9611449368247572,0.9230769230769232,-2.830229322148893,0.8125
