problem,dim,seed,method,step,best_y,selected_y,known_optimum_y,normalized_regret,raw_pool_hash,proposal_hash
Lunacek,2,42,Geometry-Only,13,5.420897147760189,14.868699889091651,0.0,0.536314852104715,93746b28a384a64a7161e93444e8e943b9b0ca49dfe5eedf38aeea964d478dcb,47bf1f0ef0b159200dc931f17c0c34a6ab85a3c3abcb6013eee083927c95abfc
Lunacek,2,42,Geometry-Only,14,5.420897147760189,13.91239164809133,0.0,0.536314852104715,d55bc90cf8292f7bbfd815f5ca449ead0cba90534030c8ae0b9e5ddab3e59244,338e6769da31488fa0ebd8d6ffa799db68939ec79c1dab2e0fcb2aeab74d0be8
Lunacek,2,42,Geometry-Only,15,5.420897147760189,23.197274526877504,0.0,0.536314852104715,1460a7334165803099ee4762cee94a532213766acb078fabf5a5e75a99bcaac7,e705f4163afbf87a182939b8e5e89117836588a1ca2eb0b7e2f96e0a20d44df4
Lunacek,2,42,Geometry-Only,16,5.420897147760189,35.42551514716179,0.0,0.536314852104715,739acf45b5dab3c18b17143e6a6b0f5cd204cfc00474b9d76df21993a940ea39,ec12c3ad9260d6c31f47c299b7bf8410fc3704ec51ea4e13f97f7a00fee0c6a1
Lunacek,2,42,Geometry-Only,17,5.420897147760189,29.578390517798383,0.0,0.536314852104715,df57a2e25c240bb6997189c9b91c034ba7d9010a3d9bc724ff2de6ce26110eca,1b08212ebddd5e9860d0c47f2b61270f48ba17d83c6178091d4d6197eb865c1a
Lunacek,2,42,Geometry-Only,18,5.420897147760189,25.166210278590704,0.0,0.536314852104715,fb11fbba73d441fe3aba6cf027b37d09db10cfc82b5265eb3a5d738ad724484f,912aa5e4563e4fb582d3066e1109f02a2441df5ada934605f9f8758e8a214fa9
Lunacek,2,42,Geometry-Only,19,5.420897147760189,5.462719479726108,0.0,0.536314852104715,bc9a404b49f5164adbb3650e56566edad04cee388d09649714e1b438e46dfda9,47930721da8b74489541c9fe870e3bf30ce1e47151a61ba837b4598057c9b03e
Lunacek,2,42,Geometry-Only,20,5.420897147760189,32.30551070108493,0.0,0.536314852104715,2541c11159875fbeab2a3ea73604f1cba775c0692e9b09d045261c0caeec7361,af8622e65972920c924dc904ce312ade3f2a01ac2b7ac458e8603554ba051367
Lunacek,2,42,Local-Rank-No-Reliability,0,10.107676724756756,,0.0,1.0,,
Lunacek,2,42,Local-Rank-No-Reliability,1,10.107676724756756,20.88842060338045,0.0,1.0,4a98766924ef52b65698532a5e32bc23102566d336c51284baf1532c6b268f9f,c0669a4cf414891f5d14b21f127fc93fc1d92c0a2269c6fda26c307eaf2be6ca
Lunacek,2,42,Local-Rank-No-Reliability,2,10.107676724756756,36.40976720104292,0.0,1.0,b4db2b92cd1e6676afff791e7bea84ed01faf9236aa1504c7c94d899a36d70b0,712fe4b24ab5116cb22963404dd8e7bbd5c38fc317271163bd4da2e2d5ee4010
Lunacek,2,42,Local-Rank-No-Reliability,3,10.107676724756756,25.357288230107628,0.0,1.0,78441c73fc257e403860fa01f47c75d53f42fa6d9193bc7cf704c66404be425e,4264a0b9a4c70d06495e657df6711d261098fb26a42d952cc001884bdc321f04
Lunacek,2,42,Local-Rank-No-Reliability,4,10.107676724756756,30.339693467812573,0.0,1.0,0ce9a858f782b20498aa7c8902b07200ac6896857d956c3c2c2442f0750bc7ea,f2b33ae97211615c55f17a00f4e5b4aa13baa55f713cef83386b2166e2a33453
Lunacek,2,42,Local-Rank-No-Reliability,5,10.107676724756756,17.082788291097184,0.0,1.0,8aaab8509aed43bc1fbc17cd742ca184a7e029c9ca88169bb6fc817e89d96e73,335e8ccfb8418b2d54d4ce11e119eeb8217bc7e3b586d43b16b53a0f92dd221c
Lunacek,2,42,Local-Rank-No-Reliability,6,10.107676724756756,15.17400145497729,0.0,1.0,115641aae12a0629cf38e879abef870574f8adb4d269f58f92206e7686fcab58,09652f65612dc7ce59da5bfa7e5796854d287e6e0b7d2575403380f738558119
Lunacek,2,42,Local-Rank-No-Reliability,7,10.107676724756756,24.90522022169121,0.0,1.0,f9b599e2dfaca2f361c07686631412f4186831013e4055873be32022d2e278a2,5cbba749968908700b26eed17193a08aaef910c77ef077633ffd9e5c65a0aee5
Lunacek,2,42,Local-Rank-No-Reliability,8,7.3855365205376415,7.3855365205376415,0.0,0.7306858659664323,a83c533e6fb62e56c3625ea6209830907299c1063d3cd584c28d9eca66977b86,de130bcf54c20f97ff210b882f401714e728b4eac6a42cdac5acb7a8abe0a94b
Lunacek,2,42,Local-Rank-No-Reliability,9,5.865989272728069,5.865989272728069,0.0,0.5803499095257457,6183aaa451d5bc80a775d06765d97013c28e79d9f90924f7537dc0628f2114c0,87387ae697f0e08cfc7b358800f77584a676592bcfcc8ef04b48094e9ec59384
Lunacek,2,42,Local-Rank-No-Reliability,10,5.865989272728069,36.62178976968937,0.0,0.5803499095257457,44826d90ff1ee483b92416f0a928e3a7d9e349e4d0aac2e9507f0bc5def56d3d,8c1261a3df9a54a8d9a46b218358c9d66ec56409a1b8bada4f3f9b92dc82f931
Lunacek,2,42,Local-Rank-No-Reliability,11,5.865989272728069,27.224966056576637,0.0,0.5803499095257457,1477450ba771acbbd0f14cd94a072707439b92ffac614b47258e230580760674,54f00cdff1c20316445d6ef7098e6c27a2c03497100c433c0f4292a563ec5360
Lunacek,2,42,Local-Rank-No-Reliability,12,5.865989272728069,10.242688231724737,0.0,0.5803499095257457,4403cbe5ae37a0ba8d1827ebf458f5b1c7c68e2b5182592b3d4845306130ea6e,7bb2269f999dfaecf9731c6ef0c77371e65ca39894b292c48f52fd20e8e34bc8
Lunacek,2,42,Local-Rank-No-Reliability,13,4.041712651842858,4.041712651842858,0.0,0.3998656429071858,93746b28a384a64a7161e93444e8e943b9b0ca49dfe5eedf38aeea964d478dcb,12cbf52d222d0f002b2360ee061325114af222eb7bdc685dc1f59da59a049baa
Lunacek,2,42,Local-Rank-No-Reliability,14,4.041712651842858,7.207926485051435,0.0,0.3998656429071858,d55bc90cf8292f7bbfd815f5ca449ead0cba90534030c8ae0b9e5ddab3e59244,6ae0de436bb83b498c3b7542c5f57eb1eac878a9bd5a4fdda5e077b3f4201665
Lunacek,2,42,Local-Rank-No-Reliability,15,2.9509595451215267,2.9509595451215267,0.0,0.29195230768448843,1460a7334165803099ee4762cee94a532213766acb078fabf5a5e75a99bcaac7,a44979872c2c6c675be991f8fcf5f0c9ee7e7d1676195e2d0bd726c88580bc08
Lunacek,2,42,Local-Rank-No-Reliability,16,2.9509595451215267,18.671916943124423,0.0,0.29195230768448843,739acf45b5dab3c18b17143e6a6b0f5cd204cfc00474b9d76df21993a940ea39,354b247bbf6bc39754d64a33c0f3c3092461f81be13aab50a462db980b5e864a
Lunacek,2,42,Local-Rank-No-Reliability,17,2.9509595451215267,3.8103244423370035,0.0,0.29195230768448843,df57a2e25c240bb6997189c9b91c034ba7d9010a3d9bc724ff2de6ce26110eca,e5060e75edbaf319969f262ad0df7da16d06bdd15a0b9918ae36866500b07bdb
Lunacek,2,42,Local-Rank-No-Reliability,18,2.9509595451215267,26.512648314976534,0.0,0.29195230768448843,fb11fbba73d441fe3aba6cf027b37d09db10cfc82b5265eb3a5d738ad724484f,978e33684d4aac4bc343b015fdcd4597ba9161f389d3c8ba09463d12d5213b4c
Lunacek,2,42,Local-Rank-No-Reliability,19,2.9509595451215267,39.753751466056656,0.0,0.29195230768448843,bc9a404b49f5164adbb3650e56566edad04cee388d09649714e1b438e46dfda9,66422e2b77fded08f47c3e5add8c09afc0cda71297a683afeead522d82d6507d
Lunacek,2,42,Local-Rank-No-Reliability,20,2.9509595451215267,16.416348283930585,0.0,0.29195230768448843,2541c11159875fbeab2a3ea73604f1cba775c0692e9b09d045261c0caeec7361,26fd7fd8c246cf61891b7c346520d86cb7b2bea09d65323d19c77fb2f3cd45e9
Lunacek,2,42,Local-Rank+Reliability,0,10.107676724756756,,0.0,1.0,,
Lunacek,2,42,Local-Rank+Reliability,1,10.107676724756756,20.88842060338045,0.0,1.0,4a98766924ef52b65698532a5e32bc23102566d336c51284baf1532c6b268f9f,c0669a4cf414891f5d14b21f127fc93fc1d92c0a2269c6fda26c307eaf2be6ca
Lunacek,2,42,Local-Rank+Reliability,2,10.107676724756756,36.40976720104292,0.0,1.0,b4db2b92cd1e6676afff791e7bea84ed01faf9236aa1504c7c94d899a36d70b0,712fe4b24ab5116cb22963404dd8e7bbd5c38fc317271163bd4da2e2d5ee4010
Lunacek,2,42,Local-Rank+Reliability,3,10.107676724756756,25.357288230107628,0.0,1.0,78441c73fc257e403860fa01f47c75d53f42fa6d9193bc7cf704c66404be425e,4264a0b9a4c70d06495e657df6711d261098fb26a42d952cc001884bdc321f04
Lunacek,2,42,Local-Rank+Reliability,4,10.107676724756756,30.339693467812573,0.0,1.0,0ce9a858f782b20498aa7c8902b07200ac6896857d956c3c2c2442f0750bc7ea,f2b33ae97211615c55f17a00f4e5b4aa13baa55f713cef83386b2166e2a33453
Lunacek,2,42,Local-Rank+Reliability,5,10.107676724756756,17.082788291097184,0.0,1.0,8aaab8509aed43bc1fbc17cd742ca184a7e029c9ca88169bb6fc817e89d96e73,335e8ccfb8418b2d54d4ce11e119eeb8217bc7e3b586d43b16b53a0f92dd221c
Lunacek,2,42,Local-Rank+Reliability,6,10.107676724756756,15.17400145497729,0.0,1.0,115641aae12a0629cf38e879abef870574f8adb4d269f58f92206e7686fcab58,09652f65612dc7ce59da5bfa7e5796854d287e6e0b7d2575403380f738558119
Lunacek,2,42,Local-Rank+Reliability,7,10.107676724756756,24.90522022169121,0.0,1.0,f9b599e2dfaca2f361c07686631412f4186831013e4055873be32022d2e278a2,5cbba749968908700b26eed17193a08aaef910c77ef077633ffd9e5c65a0aee5
Lunacek,2,42,Local-Rank+Reliability,8,7.3855365205376415,7.3855365205376415,0.0,0.7306858659664323,a83c533e6fb62e56c3625ea6209830907299c1063d3cd584c28d9eca66977b86,de130bcf54c20f97ff210b882f401714e728b4eac6a42cdac5acb7a8abe0a94b
Lunacek,2,42,Local-Rank+Reliability,9,5.865989272728069,5.865989272728069,0.0,0.5803499095257457,6183aaa451d5bc80a775d06765d97013c28e79d9f90924f7537dc0628f2114c0,87387ae697f0e08cfc7b358800f77584a676592bcfcc8ef04b48094e9ec59384
Lunacek,2,42,Local-Rank+Reliability,10,5.865989272728069,36.62178976968937,0.0,0.5803499095257457,44826d90ff1ee483b92416f0a928e3a7d9e349e4d0aac2e9507f0bc5def56d3d,8c1261a3df9a54a8d9a46b218358c9d66ec56409a1b8bada4f3f9b92dc82f931
Lunacek,2,42,Local-Rank+Reliability,11,5.865989272728069,27.224966056576637,0.0,0.5803499095257457,1477450ba771acbbd0f14cd94a072707439b92ffac614b47258e230580760674,54f00cdff1c20316445d6ef7098e6c27a2c03497100c433c0f4292a563ec5360
Lunacek,2,42,Local-Rank+Reliability,12,5.865989272728069,10.242688231724737,0.0,0.5803499095257457,4403cbe5ae37a0ba8d1827ebf458f5b1c7c68e2b5182592b3d4845306130ea6e,7bb2269f999dfaecf9731c6ef0c77371e65ca39894b292c48f52fd20e8e34bc8
Lunacek,2,42,Local-Rank+Reliability,13,4.041712651842858,4.041712651842858,0.0,0.3998656429071858,93746b28a384a64a7161e93444e8e943b9b0ca49dfe5eedf38aeea964d478dcb,12cbf52d222d0f002b2360ee061325114af222eb7bdc685dc1f59da59a049baa
Lunacek,2,42,Local-Rank+Reliability,14,4.041712651842858,7.207926485051435,0.0,0.3998656429071858,d55bc90cf8292f7bbfd815f5ca449ead0cba90534030c8ae0b9e5ddab3e59244,6ae0de436bb83b498c3b7542c5f57eb1eac878a9bd5a4fdda5e077b3f4201665
Lunacek,2,42,Local-Rank+Reliability,15,2.9509595451215267,2.9509595451215267,0.0,0.29195230768448843,1460a7334165803099ee4762cee94a532213766acb078fabf5a5e75a99bcaac7,a44979872c2c6c675be991f8fcf5f0c9ee7e7d1676195e2d0bd726c88580bc08
Lunacek,2,42,Local-Rank+Reliability,16,2.9509595451215267,18.671916943124423,0.0,0.29195230768448843,739acf45b5dab3c18b17143e6a6b0f5cd204cfc00474b9d76df21993a940ea39,354b247bbf6bc39754d64a33c0f3c3092461f81be13aab50a462db980b5e864a
Lunacek,2,42,Local-Rank+Reliability,17,2.9509595451215267,3.8103244423370035,0.0,0.29195230768448843,df57a2e25c240bb6997189c9b91c034ba7d9010a3d9bc724ff2de6ce26110eca,e5060e75edbaf319969f262ad0df7da16d06bdd15a0b9918ae36866500b07bdb
Lunacek,2,42,Local-Rank+Reliability,18,2.9509595451215267,26.512648314976534,0.0,0.29195230768448843,fb11fbba73d441fe3aba6cf027b37d09db10cfc82b5265eb3a5d738ad724484f,978e33684d4aac4bc343b015fdcd4597ba9161f389d3c8ba09463d12d5213b4c
Lunacek,2,42,Local-Rank+Reliability,19,2.9509595451215267,39.753751466056656,0.0,0.29195230768448843,bc9a404b49f5164adbb3650e56566edad04cee388d09649714e1b438e46dfda9,66422e2b77fded08f47c3e5add8c09afc0cda71297a683afeead522d82d6507d
Lunacek,2,42,Local-Rank+Reliability,20,2.9509595451215267,16.416348283930585,0.0,0.29195230768448843,2541c11159875fbeab2a3ea73604f1cba775c0692e9b09d045261c0caeec7361,26fd7fd8c246cf61891b7c346520d86cb7b2bea09d65323d19c77fb2f3cd45e9
Lunacek,2,101,Target-Only,0,12.526545196985627,,0.0,1.0,,
Lunacek,2,101,Target-Only,1,12.526545196985627,24.84787704733633,0.0,1.0,983ca1f26e2d09f783c55b0d6a5a8972814a6a218f861be6ec145ceb00378e1d,7b79185ccf42d899fdf9921845ad67d59bea6b52a7ac21cba4e80549583624d6
Lunacek,2,101,Target-Only,2,12.526545196985627,25.466016880768755,0.0,1.0,686d02fa15164e9cd29445c257424d4021a6ceb9160bf992e444e6cbdae50cae,1be61612b87d9a8ca045b993c2eec8270c94ba5067f43f018d33a79729bc49a2
Lunacek,2,101,Target-Only,3,11.308194491405214,11.308194491405214,0.0,0.9027384896297189,bff9a8f026d548d64d698e0baf79bc8dc67495f9b7037642477894dcfb42e66c,15788561b17490df1e9466e9c5e917b17c824790e061758434d5942fa8262ece
Lunacek,2,101,Target-Only,4,9.399392683979272,9.399392683979272,0.0,0.7503579427663049,cd2e3673b1c7727257b366c07130f575323e138b21d8215d400fc2b29a20a7dd,29c84f5e690c8eda1e0060657964bd67a80d41b0f043a2256b02e9508f344f2b
Lunacek,2,101,Target-Only,5,9.399392683979272,15.198635922711132,0.0,0.7503579427663049,f0a5fdb27af533e97a7e5a9f2c4cb7f15b29044da6d3192c960524572149adee,e39b779ea94bd6058301a17d306b839bdcd716d27f4ef60ecd0610fc309843a8
Lunacek,2,101,Target-Only,6,9.399392683979272,21.21646221189306,0.0,0.7503579427663049,d09a57d5591ff1c77756d6e3020c69a72412e27feda24d782aab4b78ff1762f7,045d80927e3b89dcb44bf66daafd5ec6fd6a8f3a0921413ecd2b8322cc5b1555
Lunacek,2,101,Target-Only,7,9.399392683979272,16.132750009790968,0.0,0.7503579427663049,bddb2e6474a879ac07b6b0de1b0882fd791a652db5caaeaa5f2656f09d3de73e,cafcacd29b01195b23588e9d43750bbc4b448eb2487c3184606d7a4fac0686e0
Lunacek,2,101,Target-Only,8,2.59164978284866,2.59164978284866,0.0,0.20689262219500965,c0761742b6334265d3c1c97124b863b3ac62857004e7e4452232b95b386be9c4,cc68e361fe7e912cc1e7b62cdafa0968898c57f5234f0d735821a1774195e274
Lunacek,2,101,Target-Only,9,2.59164978284866,4.143202664966687,0.0,0.20689262219500965,db4cc25dbcbbd7289392a22cdd6037b1c3b5d1cadff9bd427a53bb9297df3001,eb0cd10ffc4952e705e3119838b274817d4b37ae04cfec73c6c4b17b2fc83907
Lunacek,2,101,Target-Only,10,2.59164978284866,17.488346857806324,0.0,0.20689262219500965,36e398b12a3b3c2e58372f5b8b77a16fcfe5ca3b53e5cfd6d9ca22ef07fa05d3,988eb48cc2af78b78a8039526babf096ea78c8e80b4ca8dc65e954f800f4d7bc
Lunacek,2,101,Target-Only,11,2.59164978284866,19.98116243068524,0.0,0.20689262219500965,3fc1147b28b73083a11f9338c0b253c352233a35acd666093dd09ab28afd7845,854f5e749de91304650e0b826b33504acee12cddb915c6b48c0bfb3c1af6f230
Lunacek,2,101,Target-Only,12,2.59164978284866,7.878864659091287,0.0,0.20689262219500965,5d6a2e5968266fa98ad34408326fcd7c73304565ce287a63c002ab6f3d7cc972,2b7c4ff33360dfb4e99af8adb4bbafc365a7319ab47f3b69dc2316b6d6b14d61
Lunacek,2,101,Target-Only,13,2.59164978284866,11.314276023959449,0.0,0.20689262219500965,73583ca6523b9609ebe18060bf5d76824c86a833810a28e2f732b0f87ff478d5,5c41daeb0a79a792e7c719b84d6c6b9d7aef27985ec9a44663d255d2e9cee816
Lunacek,2,101,Target-Only,14,2.59164978284866,3.6635690990866348,0.0,0.20689262219500965,615022f5f91f94772bf7a028b3f24921cc7dbc6b7e42d2eef495a44049376801,30b5e6c537977072103fa64848c02b52951faec9b00c5a7e1a76f3667511b639
Lunacek,2,101,Target-Only,15,2.59164978284866,4.227588807156179,0.0,0.20689262219500965,6cad627d1745c19f5df6ae149dc0a9b3e600c260a23fb8af9d55112ccf02a663,d7e9dadf6a026420f16833a0945333087cb020563a285d00fcf784916e0dd1db
Lunacek,2,101,Target-Only,16,2.59164978284866,24.591969688987398,0.0,0.20689262219500965,02ce9aa86d3e86a95e6220c3f8b79fe0fb5ad662861c78f4157f92c2b0c2556a,381786ab6a52aa0c3889e0a3ef20464592d3a7ea373e8f637cf363fb6b9d29a0
Lunacek,2,101,Target-Only,17,2.59164978284866,28.20244199408346,0.0,0.20689262219500965,4e0c1bfba24ba425b194a4df2591f72bdfa99ee423ab34f08dfa8b199a2e5da1,643a5e91c32d05e1990601c4b2354a586eb5a6c977f372e201dd530ddfd951d6
Lunacek,2,101,Target-Only,18,2.59164978284866,28.52636021584095,0.0,0.20689262219500965,59c538049ee3d34ba7db37a7a28118cce122aed46e55174cc563de06539412bb,2730a075b5e357d9af26c136fceb48d3c2c7f9659f196a31b46778c9c984d4f1
