problem,dim,seed,method,initial_best_y,final_best_y,known_optimum_y,final_normalized_regret,auc_normalized_regret,total_improvement,trace_points
GMM,2,777,Local-Rank-No-Reliability,-0.7228031416625589,-0.9995392418718488,-1.0001911515148465,0.0023501723933374435,2.288495575189843,0.27673610020928996,21
GMM,2,777,Local-Rank+Reliability,-0.7228031416625589,-0.9995392418718488,-1.0001911515148465,0.0023501723933374435,2.288495575189843,0.27673610020928996,21
GMM,2,999,Target-Only,-0.5623986688590951,-0.7995158388571248,-1.0001911515148465,0.4583799873409848,12.306965756028632,0.2371171699980298,21
GMM,2,999,Geometry-Only,-0.5623986688590951,-0.7967467652924007,-1.0001911515148465,0.46470506982738624,11.127440175625507,0.23434809643330567,21
GMM,2,999,Local-Rank-No-Reliability,-0.5623986688590951,-0.9458131615977748,-1.0001911515148465,0.12420951037624509,10.765415427265628,0.3834144927386798,21
GMM,2,999,Local-Rank+Reliability,-0.5623986688590951,-0.9458131615977748,-1.0001911515148465,0.12420951037624509,10.765415427265628,0.3834144927386798,21
GMM,2,1234,Target-Only,-0.7486492999397235,-0.999339689850707,-1.0001911515148465,0.0033849701702033863,2.8016714155447664,0.25069038991098347,21
GMM,2,1234,Geometry-Only,-0.7486492999397235,-0.9981070664531622,-1.0001911515148465,0.008285241794294122,4.7924487209300235,0.24945776651343865,21
GMM,2,1234,Local-Rank-No-Reliability,-0.7486492999397235,-0.999339689850707,-1.0001911515148465,0.0033849701702033863,4.770397498621616,0.25069038991098347,21
GMM,2,1234,Local-Rank+Reliability,-0.7486492999397235,-0.999339689850707,-1.0001911515148465,0.0033849701702033863,4.770397498621616,0.25069038991098347,21
GMM,2,5678,Target-Only,-0.39385326876263715,-0.8918663754023507,-1.0001911515148465,0.1786541451456112,14.189220532580945,0.49801310663971354,21
GMM,2,5678,Geometry-Only,-0.39385326876263715,-0.9958656887862154,-1.0001911515148465,0.007133749765060909,11.08756274417129,0.6020124200235782,21
GMM,2,5678,Local-Rank-No-Reliability,-0.39385326876263715,-0.7967878496207839,-1.0001911515148465,0.33546197207867184,9.83489197361775,0.4029345808581467,21
GMM,2,5678,Local-Rank+Reliability,-0.39385326876263715,-0.7967878496207839,-1.0001911515148465,0.33546197207867184,9.83489197361775,0.4029345808581467,21
GMM,2,8888,Target-Only,-0.6799410767470953,-0.9958808590963305,-1.0001911515148465,0.013459145705561077,3.0969303459030604,0.31593978234923525,21
GMM,2,8888,Geometry-Only,-0.6799410767470953,-0.9967396263209295,-1.0001911515148465,0.010777593717722274,4.389137049070092,0.31679854957383424,21
