problem,dim,seed,candidate_index,x,acquisition,truth,truth_reveal,raw_pool_index,raw_pool_hash,proposal_hash,truth_hash,candidate_count,pool_duplicate_count,target_source_overlap_count,geometry_score,geometry_score_normalized,local_rank_no_reliability_score,local_rank_no_reliability_score_normalized,local_rank_reliability_score,local_rank_reliability_score_normalized,reversed_local_rank_score,reversed_local_rank_score_normalized
GMM,2,42,11,"[-3.6861156703907727, 1.671774698159597]",0.025392796428081593,-0.1572145905442506,offline_mechanism_reveal,1328,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.0794685625265984,0.5858585858585859,0.04323548578436042,0.5757575757575758,0.041446187211805034,0.5757575757575758,0.042351548518367706,0.8282828282828283
GMM,2,42,12,"[4.765312650844283, 1.715475172204429]",0.025381311849695578,-0.0012461270516045588,offline_mechanism_reveal,111,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,1.0410026178929787e-06,0.030303030303030304,1.0410026178929788e-07,0.030303030303030304,1.0033033476642872e-07,0.030303030303030304,1.003303347664287e-06,0.030303030303030304
GMM,2,42,13,"[-4.733030472048903, 1.6663397398762658]",0.025379884809625476,-0.021422909148101046,offline_mechanism_reveal,1402,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.00013143243819987933,0.18181818181818182,2.617437631068584e-05,0.1717171717171717,2.5091150961864182e-05,0.1717171717171717,0.00011350127316760729,0.18181818181818182
GMM,2,42,14,"[-1.5287452732254438, 1.7647107382382599]",0.025353697046949054,-0.22432801173629743,offline_mechanism_reveal,842,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.03381963716166184,0.4444444444444444,0.023849213738036626,0.45454545454545453,0.022862215134369417,0.45454545454545453,0.012799799217717497,0.4444444444444444
GMM,2,42,15,"[-2.935415185483632, 1.6691773065543707]",0.025351923163303237,-0.3087200952331124,offline_mechanism_reveal,138,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.4618950654075551,0.9595959595959596,0.3658950325107331,0.9393939393939394,0.35075248357206973,0.9393939393939394,0.13630503194720497,1.0
GMM,2,42,16,"[4.070825161154277, 1.689434123106265]",0.025334250806021048,-0.015742765050348106,offline_mechanism_reveal,1181,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.00026474750089982186,0.1919191919191919,2.7506159443596388e-05,0.18181818181818182,2.651004077876876e-05,0.18181818181818182,0.0002541657753145563,0.1919191919191919
GMM,2,42,17,"[1.5855748070087028, 1.764469615730352]",0.025277391193835295,-0.9529455528737137,offline_mechanism_reveal,1251,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.35382392833028514,0.9090909090909091,0.34757981043946595,0.9191919191919192,0.33499242115286,0.9191919191919192,0.04011903221276369,0.8080808080808081
GMM,2,42,18,"[-3.0806580164197617, 1.658771197372996]",0.025263755362826927,-0.28168349067939935,offline_mechanism_reveal,1427,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.3884604571058337,0.9292929292929293,0.29123408244224264,0.8484848484848485,0.27918137345702565,0.8484848484848485,0.1304410695723352,0.98989898989899
GMM,2,42,19,"[2.8304561835412816, 1.6692935143856138]",0.025230707707800233,-0.3250015828483953,offline_mechanism_reveal,889,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.11379020594029256,0.6565656565656566,0.09533934769619927,0.6666666666666666,0.0918866917946214,0.6666666666666666,0.02874960810308475,0.6363636363636364
GMM,2,42,20,"[4.783110406741985, 1.6705519686035766]",0.025215206993502038,-0.0011726116455348233,offline_mechanism_reveal,1372,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,9.514099206414817e-07,0.010101010101010102,9.514099206414818e-08,0.010101010101010102,9.169551948991795e-08,0.010101010101010102,9.169551948991793e-07,0.010101010101010102
GMM,2,42,21,"[2.2071193116128516, 1.7739739235176435]",0.02518853301475829,-0.6981460814081502,offline_mechanism_reveal,335,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.3497675561360093,0.898989898989899,0.3497675561360093,0.9292929292929293,0.33710093898312515,0.9292929292929293,0.03371009389831252,0.7171717171717171
GMM,2,42,22,"[3.5872675261551077, 1.7864094625959268]",0.025038239618959034,-0.06243572055965759,offline_mechanism_reveal,1370,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.004410090320402924,0.3434343434343434,0.001414865448354607,0.32323232323232326,0.0013636269654171483,0.32323232323232326,0.0033117928044289094,0.35353535353535354
GMM,2,42,23,"[4.568066128021076, 1.785418057345213]",0.025025543438209678,-0.0026551828196085276,offline_mechanism_reveal,950,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,5.207916035410515e-06,0.050505050505050504,5.207916035410515e-07,0.050505050505050504,5.019314555863167e-07,0.050505050505050504,5.019314555863168e-06,0.050505050505050504
GMM,2,42,24,"[-3.9597378216432477, 1.8056121333592356]",0.025014573389311037,-0.11747787664896756,offline_mechanism_reveal,766,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.020815028479317627,0.3939393939393939,0.009669585024379111,0.37373737373737376,0.009269409696926608,0.37373737373737376,0.012679549744010437,0.43434343434343436
GMM,2,42,25,"[0.03827858986677768, 1.800906237315811]",0.024963558377522,-0.2595641316931131,offline_mechanism_reveal,36,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.0018121861700492788,0.29292929292929293,0.0013803000196643698,0.31313131313131315,0.0013303133024903837,0.31313131313131315,0.0005909015549223108,0.26262626262626265
GMM,2,42,26,"[1.1862090321719894, 1.8014290942926312]",0.024926897481830124,-0.8886595880062581,offline_mechanism_reveal,254,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,0.18336072090305797,0.7575757575757576,0.16568170378153946,0.7676767676767676,0.15968164267174845,0.7676767676767676,0.03471082488321472,0.7373737373737373
GMM,2,42,27,"[4.380970494386553, 1.6377144416945786]",0.02488931823521845,-0.0055401210873879,offline_mechanism_reveal,131,7f09129896d2d4554d1189a124e340c543dca233f6c50bb315d49f3562bfe378,0c1ae3dfbbbcfe49f62243cd5e3ae7b8f05cc9d77a583581deb521452e9362a7,af2c7a158e4945d0f2f9441c3a2c3d662f993d6da482686586ff04ef7091f50f,100,0,0,2.954601413528123e-05,0.10101010101010101,2.9546014135281233e-06,0.10101010101010101,2.8476023386054103e-06,0.10101010101010101,2.8476023386054103e-05,0.1111111111111111
