method,step,best_y,normalized_regret,filter_active,retained_fraction,compatibility_trust,problem,dim,seed
Oracle-Fixed-Filter,0,8.09282858543249,1.0,0.0,1.0,0.0,Ackley,2,42
Oracle-Fixed-Filter,1,6.623868242174126,0.8184861661468316,1.0,0.25,1.0,Ackley,2,42
Oracle-Fixed-Filter,2,4.5334004276480755,0.5601750215997939,1.0,0.25,1.0,Ackley,2,42
Oracle-Fixed-Filter,3,4.2337725736554574,0.5231511490650459,1.0,0.25,1.0,Ackley,2,42
Oracle-Fixed-Filter,4,4.2337725736554574,0.5231511490650459,1.0,0.25,1.0,Ackley,2,42
Oracle-Fixed-Filter,5,1.6712083467821057,0.20650484921803072,1.0,0.25,1.0,Ackley,2,42
Matching-Soft-Rerank,0,8.09282858543249,1.0,0.0,1.0,,Ackley,2,42
Matching-Soft-Rerank,1,7.449515423493025,0.9205082431750177,0.0,1.0,,Ackley,2,42
Matching-Soft-Rerank,2,7.228653980928067,0.8932172360526723,0.0,1.0,,Ackley,2,42
Matching-Soft-Rerank,3,3.5505325174432234,0.4387257780097264,0.0,1.0,,Ackley,2,42
Matching-Soft-Rerank,4,3.5505325174432234,0.4387257780097264,0.0,1.0,,Ackley,2,42
Matching-Soft-Rerank,5,1.6712083467821057,0.20650484921803072,0.0,1.0,,Ackley,2,42
Target-Only,0,5.67539244950752,1.0,0.0,1.0,0.0,Ackley,2,101
Target-Only,1,5.67539244950752,1.0,0.0,1.0,0.0,Ackley,2,101
Target-Only,2,5.67539244950752,1.0,0.0,1.0,0.0,Ackley,2,101
Target-Only,3,5.474864553510589,0.9646671313427265,0.0,1.0,0.0,Ackley,2,101
Target-Only,4,5.474864553510589,0.9646671313427265,0.0,1.0,0.0,Ackley,2,101
Target-Only,5,5.474864553510589,0.9646671313427265,0.0,1.0,0.0,Ackley,2,101
Matching-Fixed-Filter,0,5.67539244950752,1.0,0.0,1.0,0.0,Ackley,2,101
Matching-Fixed-Filter,1,5.67539244950752,1.0,1.0,0.25,1.0,Ackley,2,101
Matching-Fixed-Filter,2,5.67539244950752,1.0,1.0,0.25,1.0,Ackley,2,101
Matching-Fixed-Filter,3,5.67539244950752,1.0,1.0,0.25,1.0,Ackley,2,101
Matching-Fixed-Filter,4,5.67539244950752,1.0,1.0,0.25,1.0,Ackley,2,101
Matching-Fixed-Filter,5,5.357427985686964,0.9439748939567789,1.0,0.25,1.0,Ackley,2,101
Matching-Adaptive-Filter,0,5.67539244950752,1.0,0.0,1.0,0.0,Ackley,2,101
Matching-Adaptive-Filter,1,5.67539244950752,1.0,1.0,0.825,0.23357142857139024,Ackley,2,101
