dim,seed,sample_size,noise_level,task_id,region_id,center,covariance,region_quality,core_count,context_count,bic,model_type,oof_spearman,oof_ndcg,oof_precision_at_top,geometry_spearman,geometry_ndcg,reliability,boundary_fraction,center_true_y
2,101,120,0.0,controlled_d2_s101,controlled_d2_s101::region_0,"[-2.015682667542212, -3.370668523794254]","[[0.28466102528913145, -0.014452354186976648], [-0.014452354186976648, 0.32745158515767103]]",0.9131652661064426,6,18,193.70554898174643,gp,0.8823529411764706,1.0,1.0,0.9298245614035088,0.9813407834866544,0.8823529411764706,0.6666666666666667,-0.9921160220966339
2,101,120,0.0,controlled_d2_s101,controlled_d2_s101::region_1,"[0.3268675277822382, -0.1995614137019575]","[[0.7456916900142903, -0.2851202247994411], [-0.2851202247994411, 0.4278571167348751]]",0.9094304388422036,9,27,193.70554898174643,gp,0.9470309986691203,1.0,1.0,0.8962148962148961,1.0,0.9470309986691203,0.6666666666666667,-0.6919973211209144
2,101,120,0.0,controlled_d2_s101,controlled_d2_s101::region_2,"[-2.5661560214671004, 2.8805568498755942]","[[0.653838324125146, 0.12269462539922829], [0.12269462539922829, 0.16673458115258144]]",0.8907563025210083,9,27,193.70554898174643,gp,0.956043956043956,0.9370487791280183,0.6666666666666666,0.8754578754578756,0.915927886654202,0.8958598218037097,0.6666666666666667,-0.757416926488442
2,101,120,0.02,controlled_d2_s101,controlled_d2_s101::region_0,"[-2.5661560214671004, 2.8805568498755942]","[[0.653838324125146, 0.12269462539922828], [0.12269462539922828, 0.16673458115258144]]",0.8860877684407096,9,27,193.70554898174643,gp,0.7619047619047619,0.9305776480429179,0.6666666666666666,0.8424908424908425,0.915927886654202,0.7090115413660326,0.6666666666666667,-0.757416926488442
2,101,120,0.02,controlled_d2_s101,controlled_d2_s101::region_1,"[0.32686752778223815, -0.1995614137019575]","[[0.7456916900142903, -0.2851202247994411], [-0.2851202247994411, 0.4278571167348751]]",0.9103641456582634,9,27,193.70554898174643,gp,0.9133089133089132,0.9967213077206802,1.0,0.8809523809523808,1.0,0.9103144544262133,0.6666666666666667,-0.6919973211209144
2,101,120,0.02,controlled_d2_s101,controlled_d2_s101::region_2,"[-2.015682667542212, -3.370668523794254]","[[0.28466102528913145, -0.014452354186976648], [-0.014452354186976648, 0.32745158515767103]]",0.9187675070028011,6,18,193.70554898174643,gp,0.632610939112487,0.9399761086940098,0.5,0.8596491228070176,0.9813407834866544,0.5946391688642187,0.6666666666666667,-0.9921160220966339
2,101,240,0.0,controlled_d2_s101,controlled_d2_s101::region_0,"[-2.0967528610216317, -3.3149892722132943]","[[0.28793034769454756, 0.06455633706323022], [0.06455633706323022, 0.42707758848630895]]",0.9043634190077705,7,21,371.6504850288735,gp,0.3974025974025974,0.7890427985097803,0.3333333333333333,0.8844155844155844,1.0,0.31356765758960103,0.6666666666666667,-0.9817068759904594
2,101,240,0.0,controlled_d2_s101,controlled_d2_s101::region_1,"[-2.4930460114772597, 3.172654999597516]","[[0.3246716951427795, 0.02010834233595607], [0.02010834233595607, 0.32796128869753244]]",0.9082486551105797,14,42,371.6504850288735,gp,0.9667355463548726,0.9991977524895572,1.0,0.8225427436998622,0.9792599309102799,0.9659599851695528,0.6666666666666667,-0.8451624029270031
2,101,240,0.0,controlled_d2_s101,controlled_d2_s101::region_2,"[0.1752369209999828, -0.2550008661121905]","[[0.7940911352793235, -0.24145495913068515], [-0.24145495913068515, 0.8751996873435949]]",0.8975670230900354,27,64,371.6504850288735,gp,0.9031091176645689,0.9934777954498676,0.8571428571428571,0.880540293040293,0.9868054250357661,0.897218855268071,0.578125,-0.6745109091900794
2,101,240,0.02,controlled_d2_s101,controlled_d2_s101::region_0,"[0.17523692099998284, -0.2550008661121906]","[[0.7940911352793237, -0.2414549591306852], [-0.2414549591306852, 0.875199687343595]]",0.897876956454362,27,64,371.6504850288735,gp,0.9437728937728936,0.9974893380607571,1.0,0.8287087912087912,0.9844508362255301,0.9414033990892089,0.578125,-0.6745109091900794
2,101,240,0.02,controlled_d2_s101,controlled_d2_s101::region_1,"[-2.49304601147726, 3.172654999597516]","[[0.32467169514277944, 0.02010834233595598], [0.02010834233595598, 0.3279612886975323]]",0.9082486551105797,14,42,371.6504850288735,gp,0.9069767441860466,0.9947797934456117,1.0,0.7698727817842964,0.9693754490648095,0.9022421382413689,0.6666666666666667,-0.8451624029270031
2,101,240,0.02,controlled_d2_s101,controlled_d2_s101::region_2,"[-2.0967528610216313, -3.314989272213294]","[[0.28793034769454756, 0.06455633706323025], [0.06455633706323025, 0.427077588486309]]",0.9031679617453676,7,21,371.6504850288735,gp,0.5514777816026932,1.0,1.0,0.8233766233766234,1.0,0.5514777816026932,0.6666666666666667,-0.9817068759904592
