problem,dim,seed,method,selected_y,raw_regret,normalized_regret,true_rank,acquisition_rank,hit_top05,hit_top10,filter_active,retained_count,retained_fraction,target_top1_retained,compatibility_trust,compatibility_raw_evidence,compatibility_spearman,compatibility_elite_enrichment,source_regions
Ackley,5,777,Matching-Fixed-Filter,6.607688706448279,1.9430195370361965,0.33056146015782734,12,0,0.0,0.0,1.0,25,0.25,1.0,1.0,0.5546328671328671,0.7342657342657343,0.375,6
Ackley,5,777,Matching-Adaptive-Filter,6.607688706448279,1.9430195370361965,0.33056146015782734,12,0,0.0,0.0,1.0,77,0.77,1.0,0.3173164335664122,0.5546328671328671,0.7342657342657343,0.375,6
Ackley,5,777,Random-Adaptive-Filter,6.607688706448279,1.9430195370361965,0.33056146015782734,12,0,0.0,0.0,0.0,100,1.0,1.0,0.039999999999996004,0.0,-0.15384615384615385,-0.06818181818181818,6
Ackley,5,777,Wrong-Adaptive-Filter,8.286685301863626,3.6220161324515434,0.6162053024359705,41,2,0.0,0.0,1.0,77,0.77,0.0,0.30966783216781135,0.5393356643356644,0.6013986013986015,0.4772727272727273,6
Ackley,5,777,Oracle-Fixed-Filter,6.607688706448279,1.9430195370361965,0.33056146015782734,12,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,777,Matching-Soft-Rerank,6.607688706448279,1.9430195370361965,0.33056146015782734,12,0,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,999,Target-Only,10.129863741512139,3.1784013471898938,0.6575498455560859,47,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,999,Matching-Fixed-Filter,10.129863741512139,3.1784013471898938,0.6575498455560859,47,0,0.0,0.0,1.0,25,0.25,1.0,1.0,0.4169580419580419,0.35664335664335667,0.4772727272727272,6
Ackley,5,999,Matching-Adaptive-Filter,10.129863741512139,3.1784013471898938,0.6575498455560859,47,0,0.0,0.0,1.0,82,0.82,1.0,0.24847902097900396,0.4169580419580419,0.35664335664335667,0.4772727272727272,6
Ackley,5,999,Random-Adaptive-Filter,10.129863741512139,3.1784013471898938,0.6575498455560859,47,0,0.0,0.0,0.0,100,1.0,1.0,0.039999999999996004,0.0,-0.7622377622377624,-0.3068181818181818,6
Ackley,5,999,Wrong-Adaptive-Filter,10.129863741512139,3.1784013471898938,0.6575498455560859,47,0,0.0,0.0,1.0,93,0.93,1.0,0.10424825174824373,0.1284965034965035,0.18881118881118883,0.06818181818181818,6
Ackley,5,999,Oracle-Fixed-Filter,10.129863741512139,3.1784013471898938,0.6575498455560859,47,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,999,Matching-Soft-Rerank,10.29231790524531,3.340855510923065,0.6911584741099133,50,1,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,1234,Target-Only,10.894038035022412,2.583211871567361,0.7965643179162832,60,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,1234,Matching-Fixed-Filter,10.751990886966386,2.441164723511335,0.7527623786140502,50,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.5856643356643357,0.7622377622377624,0.4090909090909091,6
Ackley,5,1234,Matching-Adaptive-Filter,10.894038035022412,2.583211871567361,0.7965643179162832,60,0,0.0,0.0,1.0,76,0.76,1.0,0.3328321678321456,0.5856643356643357,0.7622377622377624,0.4090909090909091,6
Ackley,5,1234,Random-Adaptive-Filter,10.894038035022412,2.583211871567361,0.7965643179162832,60,0,0.0,0.0,0.0,100,1.0,1.0,0.039999999999996004,0.0,-0.2937062937062937,-0.375,6
Ackley,5,1234,Wrong-Adaptive-Filter,11.292754632795349,2.981928469340298,0.9195133559888728,77,1,0.0,0.0,1.0,91,0.91,0.0,0.12697552447551505,0.17395104895104896,0.2797202797202798,0.06818181818181812,6
Ackley,5,1234,Oracle-Fixed-Filter,10.894038035022412,2.583211871567361,0.7965643179162832,60,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,1234,Matching-Soft-Rerank,10.59384600395466,2.283019840499609,0.7039965099469353,44,14,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,5678,Target-Only,10.670312443208248,4.732242949180398,0.8385226063893149,71,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,5678,Matching-Fixed-Filter,7.9359536994294455,1.9978842054015953,0.3540120592218411,15,2,0.0,0.0,1.0,25,0.25,0.0,1.0,0.5979020979020979,0.6503496503496504,0.5454545454545454,6
Ackley,5,5678,Matching-Adaptive-Filter,10.670312443208248,4.732242949180398,0.8385226063893149,71,0,0.0,0.0,1.0,75,0.75,1.0,0.3389510489510263,0.5979020979020979,0.6503496503496504,0.5454545454545454,6
Ackley,5,5678,Random-Adaptive-Filter,10.670312443208248,4.732242949180398,0.8385226063893149,71,0,0.0,0.0,1.0,95,0.95,1.0,0.07605769230768605,0.0721153846153846,0.04195804195804196,0.10227272727272724,6
Ackley,5,5678,Wrong-Adaptive-Filter,10.255430648442342,4.317361154414492,0.7650082565077567,63,1,0.0,0.0,1.0,87,0.87,0.0,0.1816083916083788,0.28321678321678323,0.2937062937062937,0.2727272727272728,6
Ackley,5,5678,Oracle-Fixed-Filter,10.670312443208248,4.732242949180398,0.8385226063893149,71,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,5678,Matching-Soft-Rerank,8.34110696497943,2.4030374709515794,0.4258025771357522,24,6,0.0,0.0,0.0,100,1.0,1.0,,,,,6
Ackley,5,8888,Target-Only,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,0
Ackley,5,8888,Matching-Fixed-Filter,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,1.0,25,0.25,1.0,1.0,0.013986013986013986,0.027972027972027972,-0.06818181818181818,6
Ackley,5,8888,Matching-Adaptive-Filter,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,0.0,100,1.0,1.0,0.04699300699300256,0.013986013986013986,0.027972027972027972,-0.06818181818181818,6
Ackley,5,8888,Random-Adaptive-Filter,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,1.0,92,0.92,1.0,0.11823426573425685,0.15646853146853149,0.2447552447552448,0.06818181818181818,6
Ackley,5,8888,Wrong-Adaptive-Filter,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,1.0,79,0.79,1.0,0.28475524475522546,0.4895104895104895,0.7062937062937064,0.27272727272727265,6
Ackley,5,8888,Oracle-Fixed-Filter,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,0.0,100,1.0,1.0,0.0,0.0,0.0,0.0,1
Ackley,5,8888,Matching-Soft-Rerank,7.408646636762816,1.2846771271348256,0.25531963588325707,10,0,0.0,0.0,0.0,100,1.0,1.0,,,,,6
