problem,dim,seed,method,initial_best_y,final_best_y,total_improvement
GMM,5,2026,Target-Only,-0.0023525589202552906,-0.1330399214278495,0.13068736250759422
GMM,5,2026,Source-Region,-0.0023525589202552906,-0.1330399214278495,0.13068736250759422
GMM,5,2026,Random-Region,-0.0023525589202552906,-0.1330399214278495,0.13068736250759422
GMM,5,2026,Wrong-Source,-0.0023525589202552906,-0.1330399214278495,0.13068736250759422
GMM,5,2026,Oracle-Target-Region,-0.0023525589202552906,-0.07634305347300188,0.07399049455274659
GMM,5,2026,Hard-Filter,-0.0023525589202552906,-0.1330399214278495,0.13068736250759422
Rastrigin,5,42,Target-Only,40.525440614329,40.525440614329,0.0
Rastrigin,5,42,Source-Region,40.525440614329,40.525440614329,0.0
Rastrigin,5,42,Random-Region,40.525440614329,27.993217506617782,12.532223107711218
Rastrigin,5,42,Wrong-Source,40.525440614329,40.525440614329,0.0
Rastrigin,5,42,Oracle-Target-Region,40.525440614329,21.145938112337582,19.379502501991418
Rastrigin,5,42,Hard-Filter,40.525440614329,40.525440614329,0.0
Rastrigin,5,101,Target-Only,54.510877442007015,39.07103803414992,15.439839407857093
Rastrigin,5,101,Source-Region,54.510877442007015,52.61635781213148,1.894519629875532
Rastrigin,5,101,Random-Region,54.510877442007015,44.02586112148104,10.485016320525972
Rastrigin,5,101,Wrong-Source,54.510877442007015,39.07103803414992,15.439839407857093
Rastrigin,5,101,Oracle-Target-Region,54.510877442007015,34.54531542678096,19.965562015226055
Rastrigin,5,101,Hard-Filter,54.510877442007015,52.61635781213148,1.894519629875532
Rastrigin,5,2026,Target-Only,44.25387121670958,44.25387121670958,0.0
Rastrigin,5,2026,Source-Region,44.25387121670958,40.07100254535378,4.1828686713557985
Rastrigin,5,2026,Random-Region,44.25387121670958,44.25387121670958,0.0
Rastrigin,5,2026,Wrong-Source,44.25387121670958,44.25387121670958,0.0
Rastrigin,5,2026,Oracle-Target-Region,44.25387121670958,32.006438282367185,12.247432934342392
Rastrigin,5,2026,Hard-Filter,44.25387121670958,44.25387121670958,0.0
Lunacek,5,42,Target-Only,64.46751195432923,50.32783002010661,14.139681934222615
Lunacek,5,42,Source-Region,64.46751195432923,37.47508123843835,26.992430715890876
Lunacek,5,42,Random-Region,64.46751195432923,46.846671280603,17.620840673726228
Lunacek,5,42,Wrong-Source,64.46751195432923,50.32783002010661,14.139681934222615
Lunacek,5,42,Oracle-Target-Region,64.46751195432923,46.439012191950084,18.02849976237914
Lunacek,5,42,Hard-Filter,64.46751195432923,39.09066611830833,25.376845836020898
Lunacek,5,101,Target-Only,47.37686606820269,33.271904542477586,14.104961525725102
Lunacek,5,101,Source-Region,47.37686606820269,47.37686606820269,0.0
Lunacek,5,101,Random-Region,47.37686606820269,16.79282073427806,30.584045333924628
Lunacek,5,101,Wrong-Source,47.37686606820269,33.271904542477586,14.104961525725102
Lunacek,5,101,Oracle-Target-Region,47.37686606820269,41.790030747955626,5.5868353202470615
Lunacek,5,101,Hard-Filter,47.37686606820269,36.23850782942391,11.138358238778778
Lunacek,5,2026,Target-Only,31.49953664087294,31.49953664087294,0.0
Lunacek,5,2026,Source-Region,31.49953664087294,31.49953664087294,0.0
Lunacek,5,2026,Random-Region,31.49953664087294,26.38777373324136,5.111762907631579
Lunacek,5,2026,Wrong-Source,31.49953664087294,31.49953664087294,0.0
Lunacek,5,2026,Oracle-Target-Region,31.49953664087294,31.49953664087294,0.0
Lunacek,5,2026,Hard-Filter,31.49953664087294,31.49953664087294,0.0
Ackley,5,42,Target-Only,6.2479727309226725,4.0547724109732215,2.193200319949451
Ackley,5,42,Source-Region,6.2479727309226725,4.550060538405166,1.6979121925175065
Ackley,5,42,Random-Region,6.2479727309226725,4.0547724109732215,2.193200319949451
Ackley,5,42,Wrong-Source,6.2479727309226725,4.0547724109732215,2.193200319949451
Ackley,5,42,Oracle-Target-Region,6.2479727309226725,5.207609529986751,1.0403632009359214
Ackley,5,42,Hard-Filter,6.2479727309226725,5.802467830573907,0.4455049003487659
Ackley,5,101,Target-Only,8.802745166919763,8.802745166919763,0.0
Ackley,5,101,Source-Region,8.802745166919763,7.534781385448548,1.2679637814712148
Ackley,5,101,Random-Region,8.802745166919763,8.802745166919763,0.0
Ackley,5,101,Wrong-Source,8.802745166919763,8.802745166919763,0.0
Ackley,5,101,Oracle-Target-Region,8.802745166919763,5.67804306108367,3.124702105836093
Ackley,5,101,Hard-Filter,8.802745166919763,7.8534560661219395,0.9492891007978237
Ackley,5,2026,Target-Only,8.61275744396409,7.705795773156675,0.9069616708074157
Ackley,5,2026,Source-Region,8.61275744396409,8.577617763165222,0.035139680798868866
Ackley,5,2026,Random-Region,8.61275744396409,7.705795773156675,0.9069616708074157
Ackley,5,2026,Wrong-Source,8.61275744396409,7.705795773156675,0.9069616708074157
Ackley,5,2026,Oracle-Target-Region,8.61275744396409,3.515824422334259,5.096933021629832
Ackley,5,2026,Hard-Filter,8.61275744396409,8.577617763165222,0.035139680798868866
