problem,dim,seed,n_init,target_only_r2,match_partial_corr,match_delta_r2,rand_partial_corr,rand_delta_r2,wrong_partial_corr,wrong_delta_r2,method,top1_true_y,top1_regret_pool,top1_improvement,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle,top3_mean_regret_pool
GMM,2,101,6,0.043164993349968483,0.4893395561821259,0.22911720540517144,-0.24479659229305722,0.05733869333175867,-0.2579043383725719,0.06364354342352962,Oracle-Target-Region,-0.39992988693142206,0.5875231045301931,0.2548450279749537,0.0,1.0,209,0.6005884192569106
GMM,2,101,6,0.043164993349968483,0.4893395561821259,0.22911720540517144,-0.24479659229305722,0.05733869333175867,-0.2579043383725719,0.06364354342352962,Hard-Filter,-0.38964767881945506,0.5978053126421601,0.24456281986298664,0.0,1.0,767,0.5699470114815876
GMM,2,2026,6,0.004712965986430007,0.7508658336436456,0.5611423322660721,0.20461512433345622,0.04167002971371703,-0.2728332886235383,0.07408717960310196,Target-Only,-0.0072325249822914345,0.984483171444096,0.0,0.0,0.0,531,0.9730791179988406
GMM,2,2026,6,0.004712965986430007,0.7508658336436456,0.5611423322660721,0.20461512433345622,0.04167002971371703,-0.2728332886235383,0.07408717960310196,Source-Region,-0.2195179182342658,0.7721977781921217,0.0,0.0,0.0,178,0.7688632129664501
GMM,2,2026,6,0.004712965986430007,0.7508658336436456,0.5611423322660721,0.20461512433345622,0.04167002971371703,-0.2728332886235383,0.07408717960310196,Random-Region,-0.03973687906818882,0.9519788173581987,0.0,0.0,0.0,674,0.9444234345898274
GMM,2,2026,6,0.004712965986430007,0.7508658336436456,0.5611423322660721,0.20461512433345622,0.04167002971371703,-0.2728332886235383,0.07408717960310196,Wrong-Source,-0.03973687906818882,0.9519788173581987,0.0,0.0,0.0,764,0.960979094467112
GMM,2,2026,6,0.004712965986430007,0.7508658336436456,0.5611423322660721,0.20461512433345622,0.04167002971371703,-0.2728332886235383,0.07408717960310196,Oracle-Target-Region,-0.3048259160282309,0.6868897803981566,0.0,0.0,0.0,180,0.6991055263255019
GMM,2,2026,6,0.004712965986430007,0.7508658336436456,0.5611423322660721,0.20461512433345622,0.04167002971371703,-0.2728332886235383,0.07408717960310196,Hard-Filter,-0.2669327228008717,0.7247829736255158,0.0,0.0,0.0,166,0.727541525590157
GMM,2,777,6,4.2784281006347236e-05,0.7535604183558261,0.5678290089172743,0.17848442902087613,0.031855328437271346,-0.31394500117883356,0.09855724688381551,Target-Only,-0.0019210491742356736,0.978468471328348,0.0,0.0,0.0,527,0.9172040211437205
GMM,2,777,6,4.2784281006347236e-05,0.7535604183558261,0.5678290089172743,0.17848442902087613,0.031855328437271346,-0.31394500117883356,0.09855724688381551,Source-Region,-0.43101969254093875,0.5493698279616449,0.0,0.0,1.0,236,0.5698507196772737
