problem,dim,seed,method,step,best_y
GMM,2,2026,Oracle-Target-Region,2,-0.46503067946996396
GMM,2,2026,Oracle-Target-Region,3,-0.47519104120570294
GMM,2,2026,Oracle-Target-Region,4,-0.47519104120570294
GMM,2,2026,Oracle-Target-Region,5,-0.47519104120570294
GMM,2,2026,Oracle-Target-Region,6,-0.547989121357455
GMM,2,2026,Oracle-Target-Region,7,-0.5562828102751803
GMM,2,2026,Oracle-Target-Region,8,-0.5881461338606322
GMM,2,2026,Oracle-Target-Region,9,-0.5881461338606322
GMM,2,2026,Oracle-Target-Region,10,-0.596662744172368
GMM,2,2026,Hard-Filter,0,-0.46503067946996396
GMM,2,2026,Hard-Filter,1,-0.5682642985056248
GMM,2,2026,Hard-Filter,2,-0.5682642985056248
GMM,2,2026,Hard-Filter,3,-0.5682642985056248
GMM,2,2026,Hard-Filter,4,-0.5682642985056248
GMM,2,2026,Hard-Filter,5,-0.5682642985056248
GMM,2,2026,Hard-Filter,6,-0.5992828993603855
GMM,2,2026,Hard-Filter,7,-0.5992828993603855
GMM,2,2026,Hard-Filter,8,-0.5992828993603855
GMM,2,2026,Hard-Filter,9,-0.5992828993603855
GMM,2,2026,Hard-Filter,10,-0.5992828993603855
Rastrigin,2,42,Target-Only,0,15.862260482938963
Rastrigin,2,42,Target-Only,1,15.862260482938963
Rastrigin,2,42,Target-Only,2,15.862260482938963
Rastrigin,2,42,Target-Only,3,10.649659840943485
Rastrigin,2,42,Target-Only,4,10.649659840943485
Rastrigin,2,42,Target-Only,5,10.649659840943485
Rastrigin,2,42,Target-Only,6,10.649659840943485
Rastrigin,2,42,Target-Only,7,10.649659840943485
Rastrigin,2,42,Target-Only,8,10.649659840943485
Rastrigin,2,42,Target-Only,9,10.649659840943485
Rastrigin,2,42,Target-Only,10,10.649659840943485
Rastrigin,2,42,Source-Region,0,15.862260482938963
Rastrigin,2,42,Source-Region,1,15.862260482938963
Rastrigin,2,42,Source-Region,2,15.862260482938963
Rastrigin,2,42,Source-Region,3,15.862260482938963
Rastrigin,2,42,Source-Region,4,15.862260482938963
Rastrigin,2,42,Source-Region,5,15.862260482938963
Rastrigin,2,42,Source-Region,6,15.862260482938963
Rastrigin,2,42,Source-Region,7,12.417256182830254
Rastrigin,2,42,Source-Region,8,12.417256182830254
Rastrigin,2,42,Source-Region,9,12.417256182830254
Rastrigin,2,42,Source-Region,10,12.417256182830254
Rastrigin,2,42,Random-Region,0,15.862260482938963
Rastrigin,2,42,Random-Region,1,15.862260482938963
Rastrigin,2,42,Random-Region,2,15.862260482938963
Rastrigin,2,42,Random-Region,3,15.862260482938963
Rastrigin,2,42,Random-Region,4,10.380363421122437
Rastrigin,2,42,Random-Region,5,10.380363421122437
Rastrigin,2,42,Random-Region,6,10.380363421122437
Rastrigin,2,42,Random-Region,7,10.380363421122437
Rastrigin,2,42,Random-Region,8,10.380363421122437
Rastrigin,2,42,Random-Region,9,10.254248487392545
Rastrigin,2,42,Random-Region,10,10.254248487392545
Rastrigin,2,42,Wrong-Source,0,15.862260482938963
Rastrigin,2,42,Wrong-Source,1,15.862260482938963
Rastrigin,2,42,Wrong-Source,2,15.862260482938963
Rastrigin,2,42,Wrong-Source,3,10.649659840943485
Rastrigin,2,42,Wrong-Source,4,10.649659840943485
Rastrigin,2,42,Wrong-Source,5,10.649659840943485
Rastrigin,2,42,Wrong-Source,6,10.649659840943485
Rastrigin,2,42,Wrong-Source,7,10.649659840943485
Rastrigin,2,42,Wrong-Source,8,10.649659840943485
Rastrigin,2,42,Wrong-Source,9,10.649659840943485
Rastrigin,2,42,Wrong-Source,10,10.649659840943485
Rastrigin,2,42,Oracle-Target-Region,0,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,1,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,2,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,3,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,4,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,5,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,6,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,7,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,8,15.862260482938963
Rastrigin,2,42,Oracle-Target-Region,9,9.754541196958943
Rastrigin,2,42,Oracle-Target-Region,10,9.754541196958943
Rastrigin,2,42,Hard-Filter,0,15.862260482938963
Rastrigin,2,42,Hard-Filter,1,15.862260482938963
Rastrigin,2,42,Hard-Filter,2,15.862260482938963
Rastrigin,2,42,Hard-Filter,3,10.649659840943485
Rastrigin,2,42,Hard-Filter,4,10.649659840943485
Rastrigin,2,42,Hard-Filter,5,10.649659840943485
Rastrigin,2,42,Hard-Filter,6,10.649659840943485
Rastrigin,2,42,Hard-Filter,7,10.649659840943485
Rastrigin,2,42,Hard-Filter,8,10.649659840943485
Rastrigin,2,42,Hard-Filter,9,7.788716985431005
Rastrigin,2,42,Hard-Filter,10,7.788716985431005
Rastrigin,2,101,Target-Only,0,32.85809536853591
Rastrigin,2,101,Target-Only,1,32.85809536853591
Rastrigin,2,101,Target-Only,2,10.67151902434243
Rastrigin,2,101,Target-Only,3,10.67151902434243
Rastrigin,2,101,Target-Only,4,10.67151902434243
Rastrigin,2,101,Target-Only,5,9.573292493696428
Rastrigin,2,101,Target-Only,6,9.573292493696428
Rastrigin,2,101,Target-Only,7,9.573292493696428
Rastrigin,2,101,Target-Only,8,9.573292493696428
Rastrigin,2,101,Target-Only,9,9.573292493696428
Rastrigin,2,101,Target-Only,10,9.573292493696428
Rastrigin,2,101,Source-Region,0,32.85809536853591
Rastrigin,2,101,Source-Region,1,7.1707988542807755
Rastrigin,2,101,Source-Region,2,7.1707988542807755
Rastrigin,2,101,Source-Region,3,7.1707988542807755
Rastrigin,2,101,Source-Region,4,7.1707988542807755
Rastrigin,2,101,Source-Region,5,7.1707988542807755
Rastrigin,2,101,Source-Region,6,7.1707988542807755
Rastrigin,2,101,Source-Region,7,7.1707988542807755
Rastrigin,2,101,Source-Region,8,7.1707988542807755
Rastrigin,2,101,Source-Region,9,7.1707988542807755
Rastrigin,2,101,Source-Region,10,7.1707988542807755
Rastrigin,2,101,Random-Region,0,32.85809536853591
Rastrigin,2,101,Random-Region,1,32.85809536853591
Rastrigin,2,101,Random-Region,2,32.85809536853591
Rastrigin,2,101,Random-Region,3,32.85809536853591
Rastrigin,2,101,Random-Region,4,32.85809536853591
Rastrigin,2,101,Random-Region,5,32.85809536853591
Rastrigin,2,101,Random-Region,6,32.85809536853591
Rastrigin,2,101,Random-Region,7,12.419174545027127
Rastrigin,2,101,Random-Region,8,12.419174545027127
Rastrigin,2,101,Random-Region,9,12.419174545027127
Rastrigin,2,101,Random-Region,10,12.419174545027127
Rastrigin,2,101,Wrong-Source,0,32.85809536853591
Rastrigin,2,101,Wrong-Source,1,32.85809536853591
Rastrigin,2,101,Wrong-Source,2,10.67151902434243
Rastrigin,2,101,Wrong-Source,3,10.67151902434243
Rastrigin,2,101,Wrong-Source,4,10.67151902434243
Rastrigin,2,101,Wrong-Source,5,9.573292493696428
Rastrigin,2,101,Wrong-Source,6,9.573292493696428
Rastrigin,2,101,Wrong-Source,7,9.573292493696428
Rastrigin,2,101,Wrong-Source,8,9.573292493696428
Rastrigin,2,101,Wrong-Source,9,9.573292493696428
Rastrigin,2,101,Wrong-Source,10,9.573292493696428
Rastrigin,2,101,Oracle-Target-Region,0,32.85809536853591
Rastrigin,2,101,Oracle-Target-Region,1,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,2,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,3,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,4,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,5,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,6,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,7,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,8,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,9,13.145598357223816
Rastrigin,2,101,Oracle-Target-Region,10,2.7649621206065262
