problem,dim,seed,n_init,target_only_r2_oos,match_partial_corr,match_corr_pval,match_delta_r2_oos,match_perm_pval,rand_partial_corr,rand_delta_r2_oos,wrong_partial_corr,wrong_delta_r2_oos,method,top1_true_y,top1_raw_regret,top1_normalized_regret,top1_signed_improvement,top1_positive_improvement,is_improved,top1_hit_top05,top1_hit_top10,rank_of_pool_oracle
Rastrigin,2,42,6,0.026035719151567105,0.24432346369283756,4.884981308350689e-15,0.057810534644338385,0.0,0.014808510696057188,-0.003090959465125054,0.22516864195114697,0.04719199525334794,Hard-Filter,33.94576101265491,31.679471973292138,0.5677061728352801,-18.08350052971595,0.0,0.0,0.0,0.0,204
Rastrigin,2,101,6,0.02888881862343562,0.33232883711864447,0.0,0.105963577520784,0.0,-0.13105658875710105,0.016182850556717754,0.04017241084394776,0.0002514265649602443,Target-Only,37.635457300739404,36.43341445332075,0.6981676430634967,-4.77736193220349,0.0,0.0,0.0,0.0,666
Rastrigin,2,101,6,0.02888881862343562,0.33232883711864447,0.0,0.105963577520784,0.0,-0.13105658875710105,0.016182850556717754,0.04017241084394776,0.0002514265649602443,Source-Region,8.371043793510262,7.169000946091613,0.13737840849546176,24.487051575025653,24.487051575025653,1.0,1.0,1.0,429
Rastrigin,2,101,6,0.02888881862343562,0.33232883711864447,0.0,0.105963577520784,0.0,-0.13105658875710105,0.016182850556717754,0.04017241084394776,0.0002514265649602443,Random-Region,33.868777318281474,32.66673447086282,0.6259873622694353,-1.0106819497455604,0.0,0.0,0.0,0.0,360
Rastrigin,2,101,6,0.02888881862343562,0.33232883711864447,0.0,0.105963577520784,0.0,-0.13105658875710105,0.016182850556717754,0.04017241084394776,0.0002514265649602443,Wrong-Source,24.624181391054865,23.422138543636216,0.44883466202346867,8.233913977481048,8.233913977481048,1.0,0.0,0.0,435
Rastrigin,2,101,6,0.02888881862343562,0.33232883711864447,0.0,0.105963577520784,0.0,-0.13105658875710105,0.016182850556717754,0.04017241084394776,0.0002514265649602443,Oracle-Target-Region,14.647112813635173,13.445069966216524,0.2576457065577509,18.21098255490074,18.21098255490074,1.0,0.0,1.0,270
Rastrigin,2,101,6,0.02888881862343562,0.33232883711864447,0.0,0.105963577520784,0.0,-0.13105658875710105,0.016182850556717754,0.04017241084394776,0.0002514265649602443,Hard-Filter,37.635457300739404,36.43341445332075,0.6981676430634967,-4.77736193220349,0.0,0.0,0.0,0.0,296
Rastrigin,2,2026,6,0.0631115557334957,0.388021821864808,0.0,0.1401620278918061,0.0,0.13900877781949114,0.01699674257483008,0.08104882021428085,0.0026142594931332086,Target-Only,21.391819992715654,19.69696011124592,0.37988414327570724,-9.026626130673147,0.0,0.0,0.0,0.0,625
Rastrigin,2,2026,6,0.0631115557334957,0.388021821864808,0.0,0.1401620278918061,0.0,0.13900877781949114,0.01699674257483008,0.08104882021428085,0.0026142594931332086,Source-Region,26.32622904771435,24.631369166244617,0.4750513033777288,-13.961035185671843,0.0,0.0,0.0,0.0,450
Rastrigin,2,2026,6,0.0631115557334957,0.388021821864808,0.0,0.1401620278918061,0.0,0.13900877781949114,0.01699674257483008,0.08104882021428085,0.0026142594931332086,Random-Region,17.115837776492427,15.420977895022695,0.29741568968196275,-4.75064391444992,0.0,0.0,0.0,1.0,513
Rastrigin,2,2026,6,0.0631115557334957,0.388021821864808,0.0,0.1401620278918061,0.0,0.13900877781949114,0.01699674257483008,0.08104882021428085,0.0026142594931332086,Wrong-Source,27.020693496638845,25.325833615169113,0.48844504691607776,-14.655499634596339,0.0,0.0,0.0,0.0,874
Rastrigin,2,2026,6,0.0631115557334957,0.388021821864808,0.0,0.1401620278918061,0.0,0.13900877781949114,0.01699674257483008,0.08104882021428085,0.0026142594931332086,Oracle-Target-Region,19.996162592408332,18.3013027109386,0.352966887372882,-7.630968730365826,0.0,0.0,0.0,0.0,251
Rastrigin,2,2026,6,0.0631115557334957,0.388021821864808,0.0,0.1401620278918061,0.0,0.13900877781949114,0.01699674257483008,0.08104882021428085,0.0026142594931332086,Hard-Filter,21.391819992715654,19.69696011124592,0.37988414327570724,-9.026626130673147,0.0,0.0,0.0,0.0,356
Rastrigin,2,777,6,-0.0013414703279901463,0.3476208331194582,0.0,0.11919550142136404,0.0,0.21840873146371143,0.04659668771002046,0.02433743595683557,-0.004692024953329099,Target-Only,19.78935492451581,18.35766686588242,0.3346468820531318,-5.300416013524231,0.0,0.0,0.0,0.0,925
Rastrigin,2,777,6,-0.0013414703279901463,0.3476208331194582,0.0,0.11919550142136404,0.0,0.21840873146371143,0.04659668771002046,0.02433743595683557,-0.004692024953329099,Source-Region,33.4880719306934,32.05638387206001,0.5843645050897119,-18.999133019701823,0.0,0.0,0.0,0.0,198
Rastrigin,2,777,6,-0.0013414703279901463,0.3476208331194582,0.0,0.11919550142136404,0.0,0.21840873146371143,0.04659668771002046,0.02433743595683557,-0.004692024953329099,Random-Region,32.379706128293705,30.948018069660314,0.5641598046418184,-17.890767217302127,0.0,0.0,0.0,0.0,323
Rastrigin,2,777,6,-0.0013414703279901463,0.3476208331194582,0.0,0.11919550142136404,0.0,0.21840873146371143,0.04659668771002046,0.02433743595683557,-0.004692024953329099,Wrong-Source,33.225527629257776,31.793839570624385,0.5795785139004102,-18.736588718266198,0.0,0.0,0.0,0.0,257
Rastrigin,2,777,6,-0.0013414703279901463,0.3476208331194582,0.0,0.11919550142136404,0.0,0.21840873146371143,0.04659668771002046,0.02433743595683557,-0.004692024953329099,Oracle-Target-Region,33.4880719306934,32.05638387206001,0.5843645050897119,-18.999133019701823,0.0,0.0,0.0,0.0,206
Rastrigin,2,777,6,-0.0013414703279901463,0.3476208331194582,0.0,0.11919550142136404,0.0,0.21840873146371143,0.04659668771002046,0.02433743595683557,-0.004692024953329099,Hard-Filter,19.78935492451581,18.35766686588242,0.3346468820531318,-5.300416013524231,0.0,0.0,0.0,0.0,287
Rastrigin,2,999,6,0.024804880690239672,0.37240710247858566,0.0,0.13380425358794346,0.0,0.019382201471279493,-0.0004426228564274881,0.16230985988965185,0.023153302043969815,Target-Only,23.827874413710248,22.16172565171773,0.3932834989585628,-1.3011447868059633,0.0,0.0,0.0,0.0,327
Rastrigin,2,999,6,0.024804880690239672,0.37240710247858566,0.0,0.13380425358794346,0.0,0.019382201471279493,-0.0004426228564274881,0.16230985988965185,0.023153302043969815,Source-Region,21.351265188077665,19.68511642608515,0.34933342227604847,1.1754644388266193,1.1754644388266193,1.0,0.0,0.0,103
Rastrigin,2,999,6,0.024804880690239672,0.37240710247858566,0.0,0.13380425358794346,0.0,0.019382201471279493,-0.0004426228564274881,0.16230985988965185,0.023153302043969815,Random-Region,13.047422225944047,11.38127346395153,0.20197285720663927,9.479307400960238,9.479307400960238,1.0,0.0,1.0,212
Rastrigin,2,999,6,0.024804880690239672,0.37240710247858566,0.0,0.13380425358794346,0.0,0.019382201471279493,-0.0004426228564274881,0.16230985988965185,0.023153302043969815,Wrong-Source,41.11883109064196,39.452682328649445,0.7001299986000539,-18.592101463737677,0.0,0.0,0.0,0.0,139
Rastrigin,2,999,6,0.024804880690239672,0.37240710247858566,0.0,0.13380425358794346,0.0,0.019382201471279493,-0.0004426228564274881,0.16230985988965185,0.023153302043969815,Oracle-Target-Region,40.261754718918326,38.59560595692581,0.6849202626957537,-17.73502509201404,0.0,0.0,0.0,0.0,87
Rastrigin,2,999,6,0.024804880690239672,0.37240710247858566,0.0,0.13380425358794346,0.0,0.019382201471279493,-0.0004426228564274881,0.16230985988965185,0.023153302043969815,Hard-Filter,38.16804863258226,36.501899870589746,0.647765211308261,-15.641319005677978,0.0,0.0,0.0,0.0,77
Rastrigin,2,1234,6,-0.00488937685468982,0.26753466027568096,0.0,0.06961653752401198,0.0,-0.2401364672698397,0.05643777263640093,0.1849582832487533,0.033459610108832916,Target-Only,31.465885171818808,27.998187603313824,0.5295701450167993,1.3613960962797371,1.3613960962797371,1.0,0.0,0.0,406
Rastrigin,2,1234,6,-0.00488937685468982,0.26753466027568096,0.0,0.06961653752401198,0.0,-0.2401364672698397,0.05643777263640093,0.1849582832487533,0.033459610108832916,Source-Region,27.504481473279228,24.036783904774243,0.4546423975201223,5.322799794819318,5.322799794819318,1.0,0.0,0.0,179
Rastrigin,2,1234,6,-0.00488937685468982,0.26753466027568096,0.0,0.06961653752401198,0.0,-0.2401364672698397,0.05643777263640093,0.1849582832487533,0.033459610108832916,Random-Region,65.90499763465743,62.437300066152446,1.1809668011002343,-33.07771636655889,0.0,0.0,0.0,0.0,480
Rastrigin,2,1234,6,-0.00488937685468982,0.26753466027568096,0.0,0.06961653752401198,0.0,-0.2401364672698397,0.05643777263640093,0.1849582832487533,0.033459610108832916,Wrong-Source,24.4013294681777,20.933631899672715,0.3959480034174024,8.425951799920846,8.425951799920846,1.0,0.0,0.0,206
