seed,relation,method,standardized_rmse,ndcg_at_top,spearman,pairwise_accuracy,precision_at_top,normalized_top1_regret,mean_negative_log_likelihood,interval_coverage_95,n_test,oracle_order_agreement,fitted_expert_order_agreement,gate_accepted,gate_cv_gain,gate_context_pairwise,effective_mode,srmse_delta_vs_target_only,negative_transfer
11,roughness,Target-Only,0.7257374647092949,0.8258525624849471,0.7292002221016581,0.7665225195822454,0.4358974358974359,0.10065113025708382,3.4156548533587903,0.5442708333333334,384,0.7933393167972149,0.7914133790271035,False,,,target_only,0.0,False
11,roughness,Fixed-Transfer,0.7253588415376194,0.8167016365901,0.6987087162185074,0.751577458659704,0.41025641025641024,0.028972997816101506,16.16483380079207,0.2916666666666667,384,0.7933393167972149,0.7914133790271035,False,,,fixed,-0.000378623171675474,False
11,roughness,Calibrated-Transfer,0.7165068171427522,0.812937314765706,0.7126356346003866,0.757778503046127,0.38461538461538464,0.10065113025708382,16.395514528249706,0.2890625,384,0.7933393167972149,0.7914133790271035,False,,,calibrated,-0.009230647566542682,False
11,roughness,Gated-Transfer,0.7165068171427522,0.812937314765706,0.7126356346003866,0.757778503046127,0.38461538461538464,0.10065113025708382,16.395514528249706,0.2890625,384,0.7933393167972149,0.7914133790271035,True,0.32453272913018555,0.8928571428571429,calibrated,-0.009230647566542682,False
11,reversal,Target-Only,0.5261651001258378,0.936059626586239,0.8966845817368011,0.8664191688424717,0.5897435897435898,0.1705323833979833,-0.4953230262637856,0.9609375,384,0.0,0.01646879632273945,False,,,target_only,0.0,False
11,reversal,Fixed-Transfer,0.913276919669143,0.896473216400826,0.4977274846563358,0.678157637075718,0.48717948717948717,0.1705323833979833,0.11601000699136947,1.0,384,0.0,0.01646879632273945,False,,,fixed,0.3871118195433052,True
11,reversal,Calibrated-Transfer,0.5261651001258378,0.936059626586239,0.8966845817368011,0.8664191688424717,0.5897435897435898,0.1705323833979833,-0.4953230262637856,0.9609375,384,0.0,0.01646879632273945,False,,,target_only,0.0,False
11,reversal,Gated-Transfer,0.5261651001258378,0.936059626586239,0.8966845817368011,0.8664191688424717,0.5897435897435898,0.1705323833979833,-0.4953230262637856,0.9609375,384,0.0,0.01646879632273945,False,0.0,0.03571428571428571,target_only,0.0,False
11,independent_expert,Target-Only,0.5261651001258378,0.9963417685693806,0.8966845817368011,0.8664191688424717,0.8974358974358975,0.005976407959788072,-0.4953230262637856,0.9609375,384,0.4628209312445605,0.4604878314220027,False,,,target_only,0.0,False
11,independent_expert,Fixed-Transfer,3.0394029340489084,0.7153868598397021,0.22270099352344785,0.5727670800696257,0.20512820512820512,0.16737440370428958,9.037322497981995,0.3229166666666667,384,0.4628209312445605,0.4604878314220027,False,,,fixed,2.5132378339230703,True
