dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seed_units,n_pair_units
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,spearman,0.835744369163157,0.8236415033876578,-0.012102865775499128,-0.09621420641823843,-0.2373081567020692,-0.004158750686687446,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,-0.02884615384615384,-0.25,0.1826923076923077,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,mean_negative_log_likelihood,-2.173786456140653,-2.0682051694534263,0.10558128668722677,0.7345058134298486,0.031354883119485255,2.0441925817384132,0.625,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,rank,target_only,interval_coverage_95,1.0,1.0,0.0,-0.07421875,-0.193359375,0.0,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,pairwise_accuracy,0.8220964566929134,0.8220964566929134,0.0,-0.024713951771653572,-0.05724040354330717,0.0,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,ndcg_at_top,0.9672768073076328,0.9672768073076328,0.0,0.002118696379093024,-0.013437296915718919,0.01979338605299799,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,normalized_top1_regret,0.0,0.0,0.0,0.0076481304762608,0.0,0.02124764860779985,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,standardized_rmse,0.7111922828097745,0.7111922828097745,0.0,-0.1793689308940172,-0.4036471880376514,1.0665736592530006e-10,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,spearman,0.835744369163157,0.835744369163157,0.0,-0.059273999725325044,-0.14022443233839957,0.0,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,precision_at_top,0.6923076923076923,0.6923076923076923,0.0,0.028846153846153848,0.0,0.08653846153846154,0.125,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,mean_negative_log_likelihood,-2.173786456140653,-2.173786456140653,0.0,0.28929130772477984,-3.5335456782803476e-11,0.7017601218216404,0.375,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,value,target_only,interval_coverage_95,1.0,1.0,0.0,-0.0634765625,-0.141845703125,0.0,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,pairwise_accuracy,0.8220964566929134,0.8086860236220472,-0.013410433070866201,-0.049904650590551214,-0.10025529035433076,-0.0108421505905512,0.0,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,ndcg_at_top,0.9672768073076328,0.9641660654480296,-0.003110741859603139,-0.09042762234956947,-0.2908406222564912,0.0194045433205476,0.25,8,8
2,test,11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.35,dual,target_only,normalized_top1_regret,0.0,0.0,0.0,-0.11056524745739033,-0.35389669391416556,0.020504208721012045,0.25,8,8
