dimension,panel,seed,relation,control,relation_or_control,condition,shell,method,n_rows,pairwise_accuracy,ndcg_at_top,normalized_top1_regret,standardized_rmse,spearman,precision_at_top,mean_negative_log_likelihood,interval_coverage_95
2,test,11,rotate_45,none,rotate_45,rotate_45,1.0,dual,1,0.9474655511811024,0.9989516188475518,0.0,0.1420532981127647,0.9797827778795092,0.9230769230769232,-0.8283419348137053,0.6171875
2,test,11,rotate_45,none,rotate_45,rotate_45,1.0,geometry,1,0.8064714566929134,0.9339120395871908,0.0391462527008706,0.5906321718688674,0.816557178172496,0.4615384615384615,0.2065327567268452,0.5703125
2,test,11,rotate_45,none,rotate_45,rotate_45,1.0,rank,1,0.8800442913385826,0.9989516188475518,0.0,0.4288411474346979,0.9077092107672587,0.9230769230769232,1.3721014528568884,0.4609375
2,test,11,rotate_45,none,rotate_45,rotate_45,1.0,target_only,1,0.8089320866141733,0.9632288154295456,0.0321374026515026,0.7274886683635561,0.8029836568394066,0.6153846153846154,-0.4052760851609698,0.84375
2,test,11,rotate_45,none,rotate_45,rotate_45,1.0,value,1,0.9781003937007874,1.0,0.0,0.0550009383647986,0.9943806079472622,1.0,-2.5271465506018758,0.8203125
2,test,11,roughness,none,roughness,roughness,0.35,dual,1,0.4429133858267716,0.9295840929675636,0.0224536093579526,1.555598774293234,-0.104971616919978,0.6923076923076923,26.281421431245388,0.40625
2,test,11,roughness,none,roughness,roughness,0.35,geometry,1,0.4489419291338583,0.7904221364944006,0.1669067750159434,1.5662415980461368,-0.1128799670390038,0.6153846153846154,14.562368304703114,0.4296875
2,test,11,roughness,none,roughness,roughness,0.35,rank,1,0.4398375984251969,0.892924523857186,0.0224536093579526,1.5504800246507873,-0.1218183482878593,0.6923076923076923,28.02111032275465,0.40625
2,test,11,roughness,none,roughness,roughness,0.35,target_only,1,0.4442667322834646,0.931597484009274,0.0224536093579526,1.5386622974371436,-0.1274835195019227,0.6923076923076923,3.9032470926807807,0.5703125
2,test,11,roughness,none,roughness,roughness,0.35,value,1,0.4501722440944882,0.9451794453676454,0.0050042453645707,1.5699695864397882,-0.0863795550265519,0.6923076923076923,18.66859672800604,0.4296875
2,test,11,roughness,none,roughness,roughness,0.7,dual,1,0.5828001968503937,0.6920116262661606,0.0134012332205707,1.1481182271118306,0.2422289873649514,0.2307692307692307,29.64803526127837,0.2890625
2,test,11,roughness,none,roughness,roughness,0.7,geometry,1,0.592888779527559,0.7061454711276579,0.0590991953063711,1.2268696082758404,0.2705262314594396,0.2307692307692307,15.471760122231965,0.25
2,test,11,roughness,none,roughness,roughness,0.7,rank,1,0.5907972440944882,0.6920116262661606,0.0134012332205707,1.1310911766150524,0.2653875206006226,0.2307692307692307,31.63071596733109,0.28125
2,test,11,roughness,none,roughness,roughness,0.7,target_only,1,0.6267224409448819,0.6938687692509962,0.0,1.1065435455477095,0.3805965024720746,0.2307692307692307,4.639768607677643,0.5
2,test,11,roughness,none,roughness,roughness,0.7,value,1,0.5815698818897638,0.6937728536665573,0.0,1.2291466874733412,0.2339486815601538,0.2307692307692307,21.188092700335645,0.265625
2,test,11,roughness,none,roughness,roughness,1.0,dual,1,0.6144192913385826,0.6174660824270907,0.0741582329849365,1.001869953832747,0.3471090459622779,0.1538461538461538,12.078714860859584,0.2890625
